Nome: MOSSORO
Codigo Estacao: A318
Latitude: -4.90416666
Longitude: -37.36694443
Altitude: 29.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;7;null;28,1;
2020-02-29;10;null;27,9;
2020-03-31;18;268,4;27,1;
2020-04-30;1;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;25,5;
2022-09-30;0;0;25,9;
2022-10-31;null;null;26,5;
2022-11-30;4;null;26,3;
2022-12-31;1;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;2;null;27;
2023-09-30;1;,2;27,5;
2023-10-31;0;0;27,8;
2023-11-30;4;3,2;28,2;
2023-12-31;3;22,8;28,4;
2024-01-31;9;59,4;28,6;
2024-02-29;13;110,4;28,6;
2024-03-31;21;388,8;27,6;
2024-04-30;26;317,8;27,4;
2024-05-31;10;61,4;27,5;
2024-06-30;23;6,8;26,6;
2024-07-31;6;3,6;26,3;
2024-08-31;0;0;26,6;
2024-09-30;0;0;27;
2024-10-31;null;null;null;

