Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.16527777
Longitude: -34.81555555
Altitude: 33.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;36,4;28,2;
2020-02-29;17;123,8;28,2;
2020-03-31;18;279,6;27,7;
2020-04-30;19;208,6;27,4;
2020-05-31;12;null;null;
2020-06-30;18;null;25,8;
2020-07-31;8;null;null;
2020-08-31;13;null;24,9;
2020-09-30;6;null;null;
2020-10-31;3;null;null;
2020-11-30;2;null;null;
2020-12-31;6;null;27,5;
2021-01-31;3;null;null;
2021-02-28;3;null;null;
2021-03-31;8;null;null;
2021-04-30;5;null;null;
2021-05-31;8;null;null;
2021-06-30;null;null;null;
2021-07-31;4;null;null;
2021-08-31;null;null;null;
2021-09-30;1;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;19;48,2;28,1;
2022-01-31;20;238,8;27,5;
2022-02-28;8;35,2;28,2;
2022-03-31;21;294,4;27,6;
2022-04-30;24;241,4;27,2;
2022-05-31;28;714,2;26,1;
2022-06-30;24;380;24,9;
2022-07-31;25;392,4;24,7;
2022-08-31;22;110,6;24,9;
2022-09-30;13;46,6;25,6;
2022-10-31;14;24,2;26,9;
2022-11-30;6;null;27;
2022-12-31;11;34,4;27,6;
2023-01-31;12;null;27,5;
2023-02-28;8;null;28;
2023-03-31;21;217,2;27,6;
2023-04-30;18;187,6;27,3;
2023-05-31;20;246,2;27;
2023-06-30;28;614;25,5;
2023-07-31;25;236,8;25,3;
2023-08-31;20;126,4;25,5;
2023-09-30;20;139,6;26;
2023-10-31;8;10,6;27,1;
2023-11-30;6;null;27,7;
2023-12-31;12;null;27,8;
2024-01-31;8;null;28,4;
2024-02-29;19;null;28,3;
2024-03-31;18;146;28,7;
2024-04-30;23;287,8;28,1;
2024-05-31;21;327,8;27;
2024-06-30;25;277;26,1;
2024-07-31;27;171;25,4;
2024-08-31;18;58,2;25,5;
2024-09-30;14;42,2;26,1;
2024-10-31;3;null;null;

