Nome: PAO DE ACUCAR
Codigo Estacao: A323
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;1;33;30;
2020-02-29;3;null;30,1;
2020-03-31;12;null;29,4;
2020-04-30;9;null;28,3;
2020-05-31;6;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;13;7,6;24,7;
2023-07-31;6;4,4;24,1;
2023-08-31;6;2,2;25,2;
2023-09-30;5;1;26;
2023-10-31;0;0;28,1;
2023-11-30;0;0;29,6;
2023-12-31;3;,8;29,4;
2024-01-31;4;11;30,5;
2024-02-29;5;5,6;29;
2024-03-31;1;,4;30,3;
2024-04-30;null;null;29,2;
2024-05-31;null;null;26,7;
2024-06-30;null;null;24,7;
2024-07-31;null;null;24,2;
2024-08-31;null;null;24,7;
2024-09-30;null;null;26,1;
2024-10-31;null;null;null;

