Nome: QUIXERAMOBIM
Codigo Estacao: A325
Latitude: -5.17444443
Longitude: -39.28944444
Altitude: 221.04
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;80,4;28,5;
2020-02-29;12;132,8;27,2;
2020-03-31;18;156;26,3;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;4;null;26,5;
2022-09-30;3;1,4;27,9;
2022-10-31;1;,2;28,8;
2022-11-30;9;126,4;27,5;
2022-12-31;6;20;27,8;
2023-01-31;16;81,6;27,5;
2023-02-28;15;114,6;27,4;
2023-03-31;23;394;25,6;
2023-04-30;8;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;2;null;null;
2023-08-31;1;null;null;
2023-09-30;1;,8;28,7;
2023-10-31;null;null;29;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;10;null;null;
2024-04-30;12;null;26,5;
2024-05-31;8;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

