Nome: BOM JESUS DO PIAUI
Codigo Estacao: A326
Latitude: -9.07999999
Longitude: -44.32777777
Altitude: 288
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;58,8;26,6;
2020-02-29;14;171,6;26,6;
2020-03-31;23;150,8;25,8;
2020-04-30;15;112,2;26,3;
2020-05-31;null;null;26,3;
2020-06-30;2;,4;26,1;
2020-07-31;0;0;26,2;
2020-08-31;0;0;28,2;
2020-09-30;0;0;30,1;
2020-10-31;null;null;null;
2020-11-30;9;null;26,6;
2020-12-31;15;6,4;27;
2021-01-31;10;3,2;27;
2021-02-28;12;2,4;25,4;
2021-03-31;2;,4;25,6;
2021-04-30;15;7,6;26;
2021-05-31;4;1;26,4;
2021-06-30;null;null;26,7;
2021-07-31;null;null;27,2;
2021-08-31;null;null;null;
2021-09-30;null;null;30,7;
2021-10-31;null;null;null;
2021-11-30;7;85,6;26,4;
2021-12-31;14;181;26;
2022-01-31;23;221,8;25,5;
2022-02-28;15;108,8;26,4;
2022-03-31;17;86,2;26,3;
2022-04-30;9;26;26,9;
2022-05-31;3;4,4;26,9;
2022-06-30;3;23,2;26,5;
2022-07-31;0;0;26,9;
2022-08-31;0;0;28,1;
2022-09-30;null;null;29,7;
2022-10-31;null;null;30,7;
2022-11-30;4;null;27;
2022-12-31;12;150,4;27,9;
2023-01-31;14;92,8;27,6;
2023-02-28;15;137,8;27,5;
2023-03-31;15;70,8;27,6;
2023-04-30;8;25,8;27,1;
2023-05-31;null;null;27,2;
2023-06-30;null;null;27;
2023-07-31;0;0;27,4;
2023-08-31;4;15,6;28,8;
2023-09-30;2;2,6;30,6;
2023-10-31;0;0;31,5;
2023-11-30;11;80,4;29,2;
2023-12-31;11;99,2;28,9;
2024-01-31;22;300,8;26,3;
2024-02-29;13;262,2;26,2;
2024-03-31;14;81,8;26,8;
2024-04-30;17;161;26,5;
2024-05-31;2;7,2;26,9;
2024-06-30;0;0;26,8;
2024-07-31;1;1,4;26,6;
2024-08-31;null;null;27,7;
2024-09-30;null;null;30;
2024-10-31;null;null;null;

