Nome: PALMEIRA DOS INDIOS
Codigo Estacao: A327
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 278.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;4;26,8;27,7;
2020-02-29;6;43,8;27,5;
2020-03-31;15;116,2;27,1;
2020-04-30;null;null;26,1;
2020-05-31;null;null;24,6;
2020-06-30;9;14,2;23,4;
2020-07-31;null;null;22,4;
2020-08-31;null;null;22,5;
2020-09-30;null;null;23,3;
2020-10-31;null;null;25,9;
2020-11-30;13;4;26,2;
2020-12-31;5;1;26,3;
2021-01-31;8;5,6;26,1;
2021-02-28;null;null;27,3;
2021-03-31;null;null;26,3;
2021-04-30;null;null;25,6;
2021-05-31;null;null;23,8;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;26,6;
2022-02-28;null;null;27,7;
2022-03-31;null;null;26,1;
2022-04-30;null;null;25,7;
2022-05-31;null;null;24,2;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;8;null;23,4;
2022-10-31;8;14;25;
2022-11-30;8;159,8;25,7;
2022-12-31;7;29,6;26,1;
2023-01-31;6;17,8;26,4;
2023-02-28;7;35,2;26,4;
2023-03-31;12;76,4;26,3;
2023-04-30;9;38;26,2;
2023-05-31;1;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;21;36,8;23,8;
2023-10-31;9;18,6;25,3;
2023-11-30;2;17,4;27,1;
2023-12-31;7;23,2;26,8;
2024-01-31;9;28,2;28,5;
2024-02-29;14;20;27,6;
2024-03-31;14;18;28,2;
2024-04-30;24;69,2;26,8;
2024-05-31;24;208,8;24,9;
2024-06-30;25;195,2;23,3;
2024-07-31;27;97,2;22,7;
2024-08-31;20;47;23;
2024-09-30;6;null;23,5;
2024-10-31;1;null;null;

