Nome: SURUBIM
Codigo Estacao: A328
Latitude: -7.83972221
Longitude: -35.80111111
Altitude: 421.44
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;26,7;
2020-02-29;null;null;26,7;
2020-03-31;null;null;26,2;
2020-04-30;null;null;25,2;
2020-05-31;null;null;24,6;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;21;162,2;22,5;
2022-07-31;23;85,8;21,8;
2022-08-31;24;91,6;21,4;
2022-09-30;10;7;22,8;
2022-10-31;6;17,8;24,3;
2022-11-30;8;54;24,7;
2022-12-31;9;29,4;25,1;
2023-01-31;8;27;25,3;
2023-02-28;9;52,4;25,6;
2023-03-31;9;88,2;25,1;
2023-04-30;19;49,6;24,8;
2023-05-31;11;24,4;24,4;
2023-06-30;22;154,4;22,7;
2023-07-31;22;52,4;22,3;
2023-08-31;23;41,8;22,5;
2023-09-30;19;32,6;23,1;
2023-10-31;11;12,8;24,7;
2023-11-30;4;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;9;null;25,6;
2024-05-31;20;32;24,9;
2024-06-30;26;147;23,1;
2024-07-31;12;null;22,2;
2024-08-31;3;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

