Nome: MORADA NOVA
Codigo Estacao: A332
Latitude: -5.0911111
Longitude: -38.36472222
Altitude: 93
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;131;28,2;
2020-02-29;15;77;27,8;
2020-03-31;23;302,6;27;
2020-04-30;12;93,2;27,4;
2020-05-31;null;null;26,9;
2020-06-30;null;null;26,3;
2020-07-31;5;54,8;26,1;
2020-08-31;0;0;27,2;
2020-09-30;0;0;28,1;
2020-10-31;0;0;29;
2020-11-30;2;22,4;29,3;
2020-12-31;3;20,8;29,3;
2021-01-31;2;14,2;29,4;
2021-02-28;11;49,8;28,7;
2021-03-31;19;163;27,3;
2021-04-30;16;204,4;27;
2021-05-31;13;102,8;26,4;
2021-06-30;1;,2;27,1;
2021-07-31;3;8;27,6;
2021-08-31;0;0;28,5;
2021-09-30;0;0;29;
2021-10-31;1;,2;29,6;
2021-11-30;0;0;30;
2021-12-31;4;49,4;29,6;
2022-01-31;14;121,4;27,3;
2022-02-28;11;47,4;28,1;
2022-03-31;20;226,2;27,2;
2022-04-30;15;212,6;26,7;
2022-05-31;17;153,2;26,3;
2022-06-30;11;52,8;25,4;
2022-07-31;10;54,8;25,7;
2022-08-31;5;36;26,4;
2022-09-30;0;0;27,9;
2022-10-31;null;0;28,7;
2022-11-30;6;70,6;28,2;
2022-12-31;4;24,8;28,3;
2023-01-31;10;112,8;28,2;
2023-02-28;9;null;28;
2023-03-31;17;234,2;26,9;
2023-04-30;16;173,8;26,9;
2023-05-31;6;44;27,7;
2023-06-30;10;71,4;27,4;
2023-07-31;4;22,6;27,4;
2023-08-31;2;2,6;27,9;
2023-09-30;null;0;28,6;
2023-10-31;0;0;28,9;
2023-11-30;2;2,2;29,2;
2023-12-31;6;64,6;29,2;
2024-01-31;3;17,6;29,1;
2024-02-29;14;234,8;28,3;
2024-03-31;19;175;28,1;
2024-04-30;20;386,4;27,6;
2024-05-31;10;61,6;27,8;
2024-06-30;11;64;26,9;
2024-07-31;3;19,6;27;
2024-08-31;0;0;27,4;
2024-09-30;1;,2;28;
2024-10-31;null;null;null;

