Nome: CARACOL
Codigo Estacao: A337
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;2;null;25,4;
2020-02-29;3;,6;25;
2020-03-31;null;null;24,3;
2020-04-30;null;null;24,3;
2020-05-31;null;null;24;
2020-06-30;2;2,6;23,2;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;0;0;26,3;
2020-10-31;4;2,2;27,6;
2020-11-30;3;1,6;24,9;
2020-12-31;2;,8;25,7;
2021-01-31;null;null;26,3;
2021-02-28;null;null;24,5;
2021-03-31;null;null;24,3;
2021-04-30;null;null;24,8;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;2;null;27,6;
2022-10-31;2;53,2;28,4;
2022-11-30;17;370,4;25,9;
2022-12-31;9;144,8;27,3;
2023-01-31;9;81;null;
2023-02-28;12;81,4;null;
2023-03-31;16;116,6;null;
2023-04-30;8;38,2;null;
2023-05-31;4;43,4;null;
2023-06-30;0;0;null;
2023-07-31;0;0;null;
2023-08-31;2;2,2;null;
2023-09-30;1;6;null;
2023-10-31;1;1,6;null;
2023-11-30;9;38,8;null;
2023-12-31;5;49,6;null;
2024-01-31;14;null;null;
2024-02-29;6;null;null;
2024-03-31;3;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

