Nome: JAGUARUANA
Codigo Estacao: A339
Latitude: -4.83777777
Longitude: -37.69972221
Altitude: 12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;71;28,2;
2020-02-29;14;74,8;27,9;
2020-03-31;22;73,4;27,1;
2020-04-30;12;31,4;27,5;
2020-05-31;18;17,8;26,8;
2020-06-30;12;18,2;26,3;
2020-07-31;5;33,8;26,2;
2020-08-31;0;0;27,1;
2020-09-30;0;0;27,6;
2020-10-31;0;0;28,1;
2020-11-30;3;10;28,6;
2020-12-31;2;13,6;28,7;
2021-01-31;null;null;28,7;
2021-02-28;8;38,4;28,5;
2021-03-31;15;64,2;27,9;
2021-04-30;null;null;27,6;
2021-05-31;null;null;26,8;
2021-06-30;null;null;27,8;
2021-07-31;null;null;27,7;
2021-08-31;null;null;28,1;
2021-09-30;null;null;28,4;
2021-10-31;null;null;28,7;
2021-11-30;null;null;29;
2021-12-31;null;null;29;
2022-01-31;null;null;27,8;
2022-02-28;null;null;28,3;
2022-03-31;null;null;27,3;
2022-04-30;null;null;26,7;
2022-05-31;null;null;26,4;
2022-06-30;null;null;25,8;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;0;0;28;
2023-10-31;0;0;28,3;
2023-11-30;4;4;28,5;
2023-12-31;5;4,8;28,7;
2024-01-31;4;3;28,6;
2024-02-29;9;2,6;28,4;
2024-03-31;null;null;27,6;
2024-04-30;null;null;27,3;
2024-05-31;null;null;27,7;
2024-06-30;null;null;27;
2024-07-31;null;null;26,8;
2024-08-31;null;null;27,2;
2024-09-30;null;null;27,6;
2024-10-31;null;null;null;

