Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;139,8;27,3;
2020-02-29;18;201;26,2;
2020-03-31;24;430,2;26;
2020-04-30;16;153,2;26,3;
2020-05-31;13;92,2;25,8;
2020-06-30;6;3,6;26;
2020-07-31;3;4,4;26,9;
2020-08-31;0;0;28,1;
2020-09-30;0;0;28,9;
2020-10-31;0;0;29,8;
2020-11-30;6;56;28,8;
2020-12-31;null;null;29,2;
2021-01-31;6;34,6;28,1;
2021-02-28;14;203,2;27;
2021-03-31;15;181,4;25,9;
2021-04-30;9;81,4;26,4;
2021-05-31;7;56,4;25,5;
2021-06-30;3;4,2;27,4;
2021-07-31;3;4,8;27,4;
2021-08-31;1;,4;28,6;
2021-09-30;null;null;29,7;
2021-10-31;3;null;29,9;
2021-11-30;3;12,6;29,6;
2021-12-31;7;17,8;29,4;
2022-01-31;12;138,6;26;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;3;null;27,6;
2022-09-30;0;0;29;
2022-10-31;1;,8;29,9;
2022-11-30;5;95;27,8;
2022-12-31;4;40,6;28,1;
2023-01-31;14;63,6;27,1;
2023-02-28;14;60,6;26,8;
2023-03-31;21;291;25,9;
2023-04-30;18;169,2;25,7;
2023-05-31;4;12;26,7;
2023-06-30;5;8,8;26,9;
2023-07-31;0;0;27,7;
2023-08-31;1;,4;28,7;
2023-09-30;0;0;29,7;
2023-10-31;0;0;30,3;
2023-11-30;1;3,6;30,2;
2023-12-31;6;35,6;29,9;
2024-01-31;6;37,2;28,9;
2024-02-29;16;311;27,6;
2024-03-31;28;167,4;26,8;
2024-04-30;16;96,8;26,5;
2024-05-31;6;10,6;26,8;
2024-06-30;9;3,2;26,8;
2024-07-31;1;,2;27;
2024-08-31;0;0;28,1;
2024-09-30;0;0;29,2;
2024-10-31;null;null;null;

