Nome: CABACEIRAS
Codigo Estacao: A348
Latitude: -7.48333333
Longitude: -36.28638888
Altitude: 391.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;7;7,6;27,9;
2020-02-29;7;32,2;28;
2020-03-31;16;224,8;26,8;
2020-04-30;9;86,8;26,2;
2020-05-31;14;55,6;25,2;
2020-06-30;14;29;23,6;
2020-07-31;16;12,8;23,1;
2020-08-31;3;2,6;24,1;
2020-09-30;6;11;24,7;
2020-10-31;0;0;26,5;
2020-11-30;4;4,6;27,1;
2020-12-31;5;3;26,8;
2021-01-31;null;null;27,1;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;5;30;27,3;
2022-01-31;9;50,6;26,9;
2022-02-28;1;,2;27,5;
2022-03-31;12;118,4;26,7;
2022-04-30;10;36,4;26,2;
2022-05-31;17;263,8;25,1;
2022-06-30;16;95;23,1;
2022-07-31;18;91,2;22,5;
2022-08-31;9;47;22,4;
2022-09-30;0;0;24,7;
2022-10-31;1;,6;26,1;
2022-11-30;6;78,6;26,3;
2022-12-31;7;47,2;26,3;
2023-01-31;9;12;26,6;
2023-02-28;3;16,8;27,1;
2023-03-31;6;69,8;26,4;
2023-04-30;12;41;25,6;
2023-05-31;11;111;25,4;
2023-06-30;18;137,8;23,5;
2023-07-31;9;32,4;23,3;
2023-08-31;8;11,8;24;
2023-09-30;9;10;25;
2023-10-31;2;1,2;26,4;
2023-11-30;2;9;27,2;
2023-12-31;4;24,8;27,2;
2024-01-31;10;50,2;27,5;
2024-02-29;11;137,2;27,3;
2024-03-31;10;82,4;27,2;
2024-04-30;13;86,6;26,4;
2024-05-31;12;58,4;25,6;
2024-06-30;15;58,8;24,1;
2024-07-31;12;18,6;23,1;
2024-08-31;3;3;23,9;
2024-09-30;2;7,6;24,7;
2024-10-31;null;null;null;

