Nome: SERRA TALHADA
Codigo Estacao: A350
Latitude: -7.95416666
Longitude: -38.29499999
Altitude: 499.02
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;62,4;27,5;
2020-02-29;16;131;26,2;
2020-03-31;25;437,6;25,2;
2020-04-30;14;207,8;25,2;
2020-05-31;13;125,8;24,6;
2020-06-30;13;61;22,9;
2020-07-31;11;19,6;22,8;
2020-08-31;4;4,2;24,1;
2020-09-30;2;,8;25,6;
2020-10-31;0;0;28,2;
2020-11-30;8;112;26,7;
2020-12-31;3;6;27,4;
2021-01-31;7;53,4;27;
2021-02-28;12;68,4;26,7;
2021-03-31;16;137,4;25,8;
2021-04-30;14;181,4;25;
2021-05-31;13;48;23,6;
2021-06-30;4;null;23,8;
2021-07-31;3;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;13;258,8;26,1;
2023-04-30;12;48;25,2;
2023-05-31;12;123,4;24,9;
2023-06-30;12;26,6;23,9;
2023-07-31;6;20,8;23,8;
2023-08-31;8;8,8;25,5;
2023-09-30;1;,2;26,5;
2023-10-31;1;2,6;28,2;
2023-11-30;5;16;29,2;
2023-12-31;6;52,8;28,2;
2024-01-31;13;134;27,1;
2024-02-29;19;188,6;26,4;
2024-03-31;16;104,2;26,4;
2024-04-30;18;176,8;25,9;
2024-05-31;10;87,8;24,8;
2024-06-30;11;35,6;23,9;
2024-07-31;10;44,6;23,4;
2024-08-31;5;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

