Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;91;29,4;
2020-02-29;14;181,4;27,8;
2020-03-31;18;63,6;27,3;
2020-04-30;12;21;27,4;
2020-05-31;11;31,6;26,3;
2020-06-30;16;18,6;24,5;
2020-07-31;13;16,2;23,8;
2020-08-31;7;3,8;24,9;
2020-09-30;2;3;26,5;
2020-10-31;1;,6;29,3;
2020-11-30;15;52;27,6;
2020-12-31;null;null;28,6;
2021-01-31;2;1,2;28,6;
2021-02-28;9;14,2;29;
2021-03-31;13;8;28,7;
2021-04-30;null;null;27,4;
2021-05-31;10;15,2;25,3;
2021-06-30;9;6,8;24,9;
2021-07-31;6;7,8;24,6;
2021-08-31;3;3;24,9;
2021-09-30;3;null;27,3;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;1;null;null;
2022-09-30;1;,2;25,9;
2022-10-31;3;49,8;27,9;
2022-11-30;14;82,2;27,5;
2022-12-31;8;162,4;27,1;
2023-01-31;8;47,6;27,9;
2023-02-28;7;15,2;28,8;
2023-03-31;10;65,4;27,9;
2023-04-30;7;88,6;27,5;
2023-05-31;10;70,4;26,3;
2023-06-30;16;15,6;24,7;
2023-07-31;7;6,6;24,7;
2023-08-31;8;9,2;26,1;
2023-09-30;4;2,2;27,2;
2023-10-31;2;,4;29,1;
2023-11-30;1;2;30,5;
2023-12-31;3;9,6;29,7;
2024-01-31;12;68;29,7;
2024-02-29;14;117,2;28,2;
2024-03-31;14;141,2;28,4;
2024-04-30;12;109,6;27,7;
2024-05-31;9;27;26,5;
2024-06-30;11;16,2;24,9;
2024-07-31;8;19,8;24,3;
2024-08-31;4;3,2;25,5;
2024-09-30;1;,2;26,6;
2024-10-31;null;null;null;

