Nome: CAMARATUBA
Codigo Estacao: A352
Latitude: -6.56194444
Longitude: -35.13527777
Altitude: 135.51
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;23;35;26,7;
2022-01-31;14;39,6;26,1;
2022-02-28;9;4,6;26,4;
2022-03-31;null;null;26,1;
2022-04-30;null;null;25,8;
2022-05-31;null;null;25,2;
2022-06-30;null;null;24;
2022-07-31;null;null;23,6;
2022-08-31;null;null;23,6;
2022-09-30;8;10,6;24,1;
2022-10-31;15;33,2;25,1;
2022-11-30;7;28,6;25,5;
2022-12-31;9;16;25,8;
2023-01-31;2;2,8;25,7;
2023-02-28;12;54,8;26,3;
2023-03-31;21;99,8;25,7;
2023-04-30;null;null;25,8;
2023-05-31;null;null;25,6;
2023-06-30;0;null;24,4;
2023-07-31;null;null;24,1;
2023-08-31;null;null;23,9;
2023-09-30;null;null;24,2;
2023-10-31;8;7,2;25,2;
2023-11-30;11;50;25,9;
2023-12-31;19;66,8;26,1;
2024-01-31;16;100,4;26,6;
2024-02-29;22;202,6;26,9;
2024-03-31;22;263,8;27;
2024-04-30;20;196,4;26,5;
2024-05-31;17;null;25,8;
2024-06-30;23;null;24,6;
2024-07-31;7;null;null;
2024-08-31;5;null;null;
2024-09-30;14;24,6;24,2;
2024-10-31;3;null;null;

