Nome: OEIRAS
Codigo Estacao: A354
Latitude: -6.97416666
Longitude: -42.14694444
Altitude: 154.03
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;230;26,6;
2020-02-29;15;98,6;26,7;
2020-03-31;17;140,6;null;
2020-04-30;5;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;1;2,2;27,6;
2022-09-30;1;4;28,8;
2022-10-31;3;40,4;29,7;
2022-11-30;14;204;26,7;
2022-12-31;13;89,6;26,4;
2023-01-31;22;191,2;25,3;
2023-02-28;16;155;25,6;
2023-03-31;15;322,6;25,7;
2023-04-30;8;37;25,5;
2023-05-31;9;66,8;26,1;
2023-06-30;0;0;25,9;
2023-07-31;0;0;26,5;
2023-08-31;1;1,4;28,4;
2023-09-30;0;0;30;
2023-10-31;3;6,6;30,2;
2023-11-30;11;62,2;29,6;
2023-12-31;8;120,8;28,8;
2024-01-31;16;285,4;27,1;
2024-02-29;15;276,2;26,5;
2024-03-31;19;190;26,9;
2024-04-30;15;214,2;26,8;
2024-05-31;3;,8;26,2;
2024-06-30;1;1,4;26,1;
2024-07-31;2;,8;26;
2024-08-31;0;0;27,7;
2024-09-30;0;0;29,1;
2024-10-31;null;null;null;

