Nome: CORURIPE
Codigo Estacao: A355
Latitude: -10.1286111
Longitude: -36.28638888
Altitude: 82.39
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;5;9;27,5;
2020-02-29;null;null;27,8;
2020-03-31;null;null;27,4;
2020-04-30;null;null;26,9;
2020-05-31;null;null;25,7;
2020-06-30;null;null;24,8;
2020-07-31;null;null;24;
2020-08-31;null;null;23,8;
2020-09-30;null;null;24,4;
2020-10-31;null;null;26;
2020-11-30;null;null;26,5;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;20;null;24;
2022-07-31;30;248;23,7;
2022-08-31;26;158,6;23,3;
2022-09-30;14;22,6;24;
2022-10-31;5;12,6;25,5;
2022-11-30;12;7,2;25,7;
2022-12-31;null;null;26,1;
2023-01-31;null;null;26,3;
2023-02-28;null;null;26,8;
2023-03-31;null;null;26,8;
2023-04-30;null;null;26,5;
2023-05-31;null;null;25,6;
2023-06-30;null;null;24,4;
2023-07-31;null;null;24;
2023-08-31;null;null;24,2;
2023-09-30;null;null;24,5;
2023-10-31;null;null;25,7;
2023-11-30;null;null;26,6;
2023-12-31;null;null;26,8;
2024-01-31;null;null;28;
2024-02-29;null;null;27,8;
2024-03-31;null;null;28,4;
2024-04-30;null;null;27,4;
2024-05-31;null;null;26;
2024-06-30;null;null;24,8;
2024-07-31;null;null;24,3;
2024-08-31;null;null;24,3;
2024-09-30;null;null;24,6;
2024-10-31;null;null;null;

