Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;7,2;27,3;
2020-02-29;null;null;27,3;
2020-03-31;null;null;26,9;
2020-04-30;null;null;26,1;
2020-05-31;null;null;25;
2020-06-30;null;null;23,7;
2020-07-31;null;null;22,7;
2020-08-31;null;null;22,7;
2020-09-30;null;null;23,3;
2020-10-31;null;null;25,2;
2020-11-30;null;null;26;
2020-12-31;null;null;25,6;
2021-01-31;null;null;25,5;
2021-02-28;19;90,6;26,2;
2021-03-31;24;108,2;25,5;
2021-04-30;null;null;25,2;
2021-05-31;null;null;24,2;
2021-06-30;null;null;23,3;
2021-07-31;null;null;23;
2021-08-31;null;null;22,4;
2021-09-30;8;null;24,1;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;23,3;
2022-07-31;0;0;22,7;
2022-08-31;0;0;22,4;
2022-09-30;0;0;23,4;
2022-10-31;null;null;24,6;
2022-11-30;null;null;25;
2022-12-31;null;null;25,6;
2023-01-31;null;null;25,5;
2023-02-28;null;null;25,5;
2023-03-31;null;null;25,7;
2023-04-30;null;null;25,5;
2023-05-31;11;null;24,8;
2023-06-30;30;409,6;23,4;
2023-07-31;24;234,6;23,2;
2023-08-31;25;138,6;23,4;
2023-09-30;23;96,8;23,7;
2023-10-31;15;33;24,9;
2023-11-30;7;43,4;26;
2023-12-31;24;78,2;26;
2024-01-31;10;56,8;27,3;
2024-02-29;25;52,8;27,2;
2024-03-31;26;5,4;27,2;
2024-04-30;null;null;26,5;
2024-05-31;null;null;25,1;
2024-06-30;null;null;23,8;
2024-07-31;null;null;23;
2024-08-31;4;null;23;
2024-09-30;16;33,8;23,5;
2024-10-31;2;null;null;

