Nome: CASTELO DO PIAUI
Codigo Estacao: A361
Latitude: -5.34916666
Longitude: -41.51222222
Altitude: 268.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;27,9;
2022-09-30;1;1,8;29;
2022-10-31;5;69,2;29,7;
2022-11-30;12;52,6;27,1;
2022-12-31;8;107,8;27,2;
2023-01-31;19;236;25,5;
2023-02-28;17;131,6;25,5;
2023-03-31;19;439,4;25,1;
2023-04-30;18;228,8;25,3;
2023-05-31;6;19,6;26;
2023-06-30;1;,2;26,2;
2023-07-31;0;0;27,5;
2023-08-31;0;0;28,8;
2023-09-30;0;0;30,2;
2023-10-31;0;0;30,6;
2023-11-30;3;39,8;29,8;
2023-12-31;6;16;29,1;
2024-01-31;8;102;27,5;
2024-02-29;15;258,4;26,8;
2024-03-31;18;248,2;26,2;
2024-04-30;null;null;25,9;
2024-05-31;null;null;26,6;
2024-06-30;null;null;26,4;
2024-07-31;null;null;26,9;
2024-08-31;null;null;28,4;
2024-09-30;null;null;29,8;
2024-10-31;null;null;null;

