Nome: VALENCA DO PIAUI
Codigo Estacao: A363
Latitude: -6.4236111
Longitude: -41.74888888
Altitude: 372
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;256,2;25,2;
2020-02-29;19;212,2;25,2;
2020-03-31;25;464;24,9;
2020-04-30;19;145,2;25,2;
2020-05-31;4;13,4;25,7;
2020-06-30;2;,6;25,5;
2020-07-31;0;0;26,1;
2020-08-31;0;0;27,2;
2020-09-30;1;1;28,7;
2020-10-31;4;19,4;29,6;
2020-11-30;8;122,2;27,5;
2020-12-31;1;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;23;74,8;24,8;
2022-02-28;17;null;25;
2022-03-31;11;null;24,5;
2022-04-30;9;null;25,1;
2022-05-31;6;null;25,4;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;1;17;26,9;
2022-09-30;4;21,2;28,7;
2022-10-31;2;26,4;29,6;
2022-11-30;14;100,2;26,2;
2022-12-31;16;121,4;26,2;
2023-01-31;16;225;24,7;
2023-02-28;14;150,2;24,9;
2023-03-31;18;420,4;24,8;
2023-04-30;17;84;25;
2023-05-31;9;87,8;25,7;
2023-06-30;3;3;25,9;
2023-07-31;0;0;26,8;
2023-08-31;1;,6;28,1;
2023-09-30;1;,4;29,6;
2023-10-31;2;7,2;30,5;
2023-11-30;8;94,8;29,2;
2023-12-31;9;125,8;28,2;
2024-01-31;18;321;26,3;
2024-02-29;18;383,2;25,9;
2024-03-31;23;183,4;25,6;
2024-04-30;21;210,4;25,7;
2024-05-31;1;,6;26,2;
2024-06-30;1;,6;26;
2024-07-31;3;5,4;25,9;
2024-08-31;0;0;27,7;
2024-09-30;1;3;29,4;
2024-10-31;null;null;null;

