Nome: GILBUES
Codigo Estacao: A364
Latitude: -9.87527777
Longitude: -45.34583333
Altitude: 425.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;2;null;null;
2020-02-29;null;null;null;
2020-03-31;2;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;30,2;
2021-10-31;9;61,2;29,2;
2021-11-30;20;373,4;26,5;
2021-12-31;20;250,2;26,4;
2022-01-31;15;241,6;25,9;
2022-02-28;11;94,8;26,6;
2022-03-31;13;129,4;26,5;
2022-04-30;1;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;0;0;26,9;
2022-09-30;3;16,8;28,5;
2022-10-31;7;72,2;29,3;
2022-11-30;15;179,2;25,5;
2022-12-31;15;102,4;25,6;
2023-01-31;11;157,2;25,7;
2023-02-28;13;89,4;26;
2023-03-31;14;94;25,6;
2023-04-30;9;54;25,9;
2023-05-31;8;96,6;26,1;
2023-06-30;1;,2;26,6;
2023-07-31;0;0;26,6;
2023-08-31;1;35,4;28,2;
2023-09-30;2;,8;29,5;
2023-10-31;2;9,6;31;
2023-11-30;8;104,2;28,8;
2023-12-31;8;55,2;28,6;
2024-01-31;18;236;26,3;
2024-02-29;9;123;26,4;
2024-03-31;7;45;27,4;
2024-04-30;10;137,6;26,6;
2024-05-31;0;0;26,9;
2024-06-30;0;0;26,5;
2024-07-31;0;0;26,3;
2024-08-31;0;0;27,9;
2024-09-30;0;0;29,3;
2024-10-31;null;null;null;

