Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.11805554
Longitude: -42.97583332
Altitude: 312.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;216,4;25,9;
2020-02-29;16;164,6;26;
2020-03-31;16;null;25,6;
2020-04-30;11;85;26;
2020-05-31;6;28,4;25,8;
2020-06-30;0;0;26;
2020-07-31;0;0;26,3;
2020-08-31;null;null;26,7;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;8;72,2;26,7;
2021-01-31;7;34,8;26,5;
2021-02-28;18;177,6;25,4;
2021-03-31;12;40,4;25,6;
2021-04-30;6;105,8;26,7;
2021-05-31;0;0;26,6;
2021-06-30;0;0;27,3;
2021-07-31;0;0;27,1;
2021-08-31;0;0;27,8;
2021-09-30;null;0;30,1;
2021-10-31;6;162;29,8;
2021-11-30;13;95;26,9;
2021-12-31;12;114;26,4;
2022-01-31;10;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;25,9;
2022-04-30;null;null;26,2;
2022-05-31;1;null;26,6;
2022-06-30;7;10,6;26,5;
2022-07-31;null;null;26,6;
2022-08-31;null;null;27,4;
2022-09-30;2;60,2;29;
2022-10-31;3;28,4;29,6;
2022-11-30;13;101,6;26,2;
2022-12-31;11;132,2;26,1;
2023-01-31;19;118,2;25,6;
2023-02-28;10;104,6;25,8;
2023-03-31;11;208,6;25,8;
2023-04-30;8;31,8;25,9;
2023-05-31;8;120,8;26;
2023-06-30;0;0;26,4;
2023-07-31;null;null;null;
2023-08-31;2;4,8;28,5;
2023-09-30;1;31;29,8;
2023-10-31;0;0;31;
2023-11-30;8;150;28,8;
2023-12-31;6;14,4;28,7;
2024-01-31;13;80;26,8;
2024-02-29;4;,8;26,5;
2024-03-31;6;null;null;
2024-04-30;10;65;26,9;
2024-05-31;1;1,4;27,5;
2024-06-30;1;,6;27,3;
2024-07-31;2;8,4;26,7;
2024-08-31;0;0;27,9;
2024-09-30;1;,2;29,3;
2024-10-31;null;null;null;

