Nome: QUIXADA
Codigo Estacao: A369
Latitude: -4.97888888
Longitude: -39.05722222
Altitude: 193
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;26,4;
2022-09-30;3;5,2;27,6;
2022-10-31;2;1,2;28,4;
2022-11-30;12;81;27,6;
2022-12-31;9;35,2;27,6;
2023-01-31;14;62,6;27,4;
2023-02-28;13;91,6;27,3;
2023-03-31;22;236,2;26;
2023-04-30;21;124,2;25,9;
2023-05-31;13;39,6;26,7;
2023-06-30;18;50,6;26,6;
2023-07-31;4;15;26,9;
2023-08-31;4;3,2;27,8;
2023-09-30;2;1,2;28,5;
2023-10-31;0;0;28,8;
2023-11-30;6;25,8;29;
2023-12-31;7;34,4;28,8;
2024-01-31;14;89;28,3;
2024-02-29;18;172;27,7;
2024-03-31;24;303,4;26,9;
2024-04-30;23;223,8;26,7;
2024-05-31;14;82;26,6;
2024-06-30;16;90,6;25,9;
2024-07-31;3;7,8;26;
2024-08-31;0;0;26,8;
2024-09-30;0;0;27,6;
2024-10-31;null;null;null;

