Nome: PIRANHAS
Codigo Estacao: A371
Latitude: -9.62222221
Longitude: -37.76722221
Altitude: 187
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;74,6;28,8;
2020-02-29;4;null;29,2;
2020-03-31;2;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;3;5,4;28,4;
2021-04-30;11;55,4;27,2;
2021-05-31;23;118,6;24,4;
2021-06-30;14;53,8;23,6;
2021-07-31;17;50,2;23,3;
2021-08-31;11;22,6;23,6;
2021-09-30;8;42,6;25,9;
2021-10-31;3;7,6;27,6;
2021-11-30;7;56,6;28,5;
2021-12-31;8;147,6;28,1;
2022-01-31;4;16,4;27,8;
2022-02-28;3;38,8;28,9;
2022-03-31;12;25,2;27,5;
2022-04-30;6;12,6;27,7;
2022-05-31;19;155,8;25,6;
2022-06-30;24;92,2;23,5;
2022-07-31;25;94,8;22,5;
2022-08-31;19;59;22,6;
2022-09-30;10;25,2;24,1;
2022-10-31;1;null;26,5;
2022-11-30;7;null;27,6;
2022-12-31;8;83;27,3;
2023-01-31;5;null;28;
2023-02-28;4;13,8;28,2;
2023-03-31;8;null;28;
2023-04-30;7;29,6;27,8;
2023-05-31;10;null;26,4;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;10;20,4;25,5;
2023-10-31;null;0;27,5;
2023-11-30;1;null;29;
2023-12-31;3;null;28,9;
2024-01-31;5;null;29,7;
2024-02-29;10;null;28,4;
2024-03-31;7;47,4;29,6;
2024-04-30;14;214;28,1;
2024-05-31;19;109,8;25,9;
2024-06-30;23;64,4;24;
2024-07-31;21;43,4;23,5;
2024-08-31;8;15,4;24,4;
2024-09-30;2;null;25,7;
2024-10-31;null;null;null;

