Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;null;25,7;
2020-02-29;13;null;25;
2020-03-31;4;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;28,3;
2021-10-31;4;null;28,8;
2021-11-30;17;243,4;25,6;
2021-12-31;18;null;24,8;
2022-01-31;15;null;24,6;
2022-02-28;8;null;25,2;
2022-03-31;15;65,2;24,7;
2022-04-30;7;45,2;24,9;
2022-05-31;3;5,2;24,2;
2022-06-30;0;0;22,9;
2022-07-31;null;0;22,8;
2022-08-31;0;0;24,7;
2022-09-30;2;22,6;27;
2022-10-31;3;null;28,5;
2022-11-30;11;null;26,1;
2022-12-31;11;null;28,1;
2023-01-31;5;null;27,1;
2023-02-28;7;null;26,3;
2023-03-31;14;null;25,8;
2023-04-30;5;31,6;25,7;
2023-05-31;5;18;25,7;
2023-06-30;2;2;24,9;
2023-07-31;0;0;24,7;
2023-08-31;3;22;26,7;
2023-09-30;null;0;28,7;
2023-10-31;null;null;31,1;
2023-11-30;7;null;28,8;
2023-12-31;5;null;29,2;
2024-01-31;14;null;26,5;
2024-02-29;7;null;26,3;
2024-03-31;6;33,6;27,3;
2024-04-30;18;117,8;26,5;
2024-05-31;1;5,2;25,2;
2024-06-30;0;0;24,4;
2024-07-31;0;0;24,1;
2024-08-31;1;,8;26,3;
2024-09-30;null;null;27,8;
2024-10-31;null;null;null;

