Nome: LUIZ EDUARDO MAGALHAES
Codigo Estacao: A404
Latitude: -12.1525
Longitude: -45.82972221
Altitude: 760.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;239,2;24,3;
2020-02-29;15;334;23,7;
2020-03-31;21;351;23,1;
2020-04-30;15;213,2;23,6;
2020-05-31;6;50,6;22,9;
2020-06-30;1;2,6;21,7;
2020-07-31;1;,2;21,2;
2020-08-31;0;0;22,7;
2020-09-30;1;,2;25;
2020-10-31;6;null;25,6;
2020-11-30;7;null;null;
2020-12-31;10;null;24,1;
2021-01-31;7;null;24,6;
2021-02-28;21;null;22,8;
2021-03-31;9;null;23,7;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;2;4,8;26,4;
2021-10-31;9;94,2;26,4;
2021-11-30;21;132,2;23,8;
2021-12-31;19;443;23,3;
2022-01-31;19;206,8;23,1;
2022-02-28;11;null;23,7;
2022-03-31;8;null;24,5;
2022-04-30;8;62,6;24,3;
2022-05-31;0;0;22,8;
2022-06-30;0;0;21,9;
2022-07-31;null;0;21,7;
2022-08-31;0;0;23,4;
2022-09-30;6;55,6;25,5;
2022-10-31;4;null;26,7;
2022-11-30;13;null;22,9;
2022-12-31;19;null;23,3;
2023-01-31;15;null;23,2;
2023-02-28;12;null;23,9;
2023-03-31;15;null;24;
2023-04-30;8;53,8;23,7;
2023-05-31;4;34,4;23,3;
2023-06-30;0;0;22,5;
2023-07-31;0;0;22,3;
2023-08-31;2;20;24,2;
2023-09-30;null;0;26,5;
2023-10-31;6;null;28,1;
2023-11-30;10;null;26,4;
2023-12-31;2;null;26,4;
2024-01-31;14;null;24,3;
2024-02-29;12;null;24,3;
2024-03-31;10;83,8;25,7;
2024-04-30;10;133,6;25;
2024-05-31;0;0;23,8;
2024-06-30;0;0;22,6;
2024-07-31;0;0;22;
2024-08-31;0;0;23,8;
2024-09-30;null;null;25,6;
2024-10-31;null;null;null;

