Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;108,6;25,9;
2020-02-29;7;26,6;26,4;
2020-03-31;19;124,8;25,9;
2020-04-30;26;103;24,7;
2020-05-31;30;189,8;23,5;
2020-06-30;26;174,6;22,6;
2020-07-31;31;184,4;21,6;
2020-08-31;17;null;21,2;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;4;null;null;
2021-12-31;18;223,8;25,1;
2022-01-31;15;64;25,3;
2022-02-28;17;58,2;25,8;
2022-03-31;25;128,2;24,8;
2022-04-30;23;211;24,5;
2022-05-31;null;null;23,3;
2022-06-30;7;null;21,7;
2022-07-31;14;14,4;21,4;
2022-08-31;24;115,2;21,3;
2022-09-30;21;50;22,3;
2022-10-31;17;56,4;24;
2022-11-30;18;240,4;24,3;
2022-12-31;15;72,2;25,4;
2023-01-31;19;56;25,8;
2023-02-28;17;84,4;26,1;
2023-03-31;26;143,6;25,3;
2023-04-30;21;44,6;25,1;
2023-05-31;24;104;23,7;
2023-06-30;29;121,6;22,2;
2023-07-31;29;90,4;21,9;
2023-08-31;14;null;21,8;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;1;null;null;
2024-01-31;2;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;8;null;null;
2024-05-31;20;171;24,1;
2024-06-30;26;183,2;22,7;
2024-07-31;26;69,2;22;
2024-08-31;20;89,2;22,2;
2024-09-30;14;44,8;22,6;
2024-10-31;null;null;null;

