Nome: ITABERABA
Codigo Estacao: A408
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;42,8;27,6;
2020-02-29;13;17,8;28,8;
2020-03-31;15;17,4;27,2;
2020-04-30;null;null;26;
2020-05-31;null;null;24,9;
2020-06-30;null;null;23,4;
2020-07-31;null;null;22,8;
2020-08-31;null;null;22,7;
2020-09-30;null;null;23,9;
2020-10-31;null;null;26,8;
2020-11-30;null;null;25,4;
2020-12-31;null;null;27;
2021-01-31;null;null;27;
2021-02-28;null;null;27,2;
2021-03-31;null;null;27,5;
2021-04-30;null;null;26,1;
2021-05-31;null;null;24,2;
2021-06-30;null;null;23,5;
2021-07-31;null;null;23,1;
2021-08-31;null;null;23;
2021-09-30;null;null;25,5;
2021-10-31;null;null;27,1;
2021-11-30;null;null;25,8;
2021-12-31;null;null;25,5;
2022-01-31;null;null;25,9;
2022-02-28;null;null;26,9;
2022-03-31;null;null;26;
2022-04-30;null;null;25,7;
2022-05-31;null;null;24,6;
2022-06-30;null;null;23,3;
2022-07-31;null;null;22,2;
2022-08-31;null;null;23,1;
2022-09-30;null;null;24,7;
2022-10-31;null;null;26,2;
2022-11-30;null;null;25,5;
2022-12-31;null;null;25,3;
2023-01-31;null;null;26,3;
2023-02-28;null;null;27,3;
2023-03-31;null;null;26,6;
2023-04-30;null;null;26,7;
2023-05-31;null;null;25,1;
2023-06-30;null;null;23,8;
2023-07-31;null;null;23,3;
2023-08-31;2;null;23,8;
2023-09-30;12;30,8;25;
2023-10-31;8;7,2;27,1;
2023-11-30;6;10,4;28,1;
2023-12-31;7;17;28,4;
2024-01-31;null;null;28,4;
2024-02-29;null;null;26,9;
2024-03-31;null;null;null;
2024-04-30;5;null;null;
2024-05-31;15;62,6;24,8;
2024-06-30;18;43,8;23,5;
2024-07-31;15;21;23,2;
2024-08-31;13;45,4;23,5;
2024-09-30;14;16;24,3;
2024-10-31;3;null;null;

