Nome: FEIRA DE SANTANA
Codigo Estacao: A413
Latitude: -12.1961111
Longitude: -38.96749999
Altitude: 229.64
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;147;26,5;
2020-02-29;5;17,6;26,7;
2020-03-31;15;127;26,4;
2020-04-30;16;null;25,2;
2020-05-31;19;114;23,9;
2020-06-30;25;98,4;22,9;
2020-07-31;26;107,8;21,8;
2020-08-31;19;72,2;21,8;
2020-09-30;17;63,8;22,7;
2020-10-31;null;null;null;
2020-11-30;2;null;null;
2020-12-31;null;null;null;
2021-01-31;2;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;10;null;25,6;
2021-11-30;16;219,6;25,2;
2021-12-31;14;213,4;25,5;
2022-01-31;10;40,2;25,5;
2022-02-28;7;15,4;26,3;
2022-03-31;18;111;25,3;
2022-04-30;16;150,4;24,9;
2022-05-31;11;100;23,8;
2022-06-30;18;61,6;22,2;
2022-07-31;25;60,4;21,9;
2022-08-31;15;70,6;21,6;
2022-09-30;14;32,4;22,6;
2022-10-31;8;15,8;24,7;
2022-11-30;12;92,8;25,1;
2022-12-31;8;40,6;25,8;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;8;null;25,6;
2023-05-31;15;57;24,4;
2023-06-30;21;97,4;22,8;
2023-07-31;15;30,4;22,7;
2023-08-31;13;35,2;23,2;
2023-09-30;8;14,6;24,3;
2023-10-31;2;1;26;
2023-11-30;5;19;26,9;
2023-12-31;8;70,4;27;
2024-01-31;9;167;27,5;
2024-02-29;14;163,2;26,6;
2024-03-31;6;22;27,6;
2024-04-30;18;67,4;26,1;
2024-05-31;19;84,8;24,7;
2024-06-30;21;60,4;23,2;
2024-07-31;19;35,4;22,8;
2024-08-31;8;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

