Nome: CORRENTINA
Codigo Estacao: A416
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.71
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;281,6;25,1;
2020-02-29;10;127,4;25,2;
2020-03-31;null;null;24,3;
2020-04-30;null;null;24,1;
2020-05-31;4;10,8;22,7;
2020-06-30;1;,8;21,5;
2020-07-31;0;0;21,1;
2020-08-31;0;0;23,2;
2020-09-30;0;0;25,4;
2020-10-31;12;84,4;26,8;
2020-11-30;19;32,4;24,2;
2020-12-31;16;39,4;24,5;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;1;null;26,6;
2021-10-31;8;63,6;27,3;
2021-11-30;21;318,2;24,3;
2021-12-31;24;447,2;23,6;
2022-01-31;18;255,6;23,7;
2022-02-28;18;115,4;24,1;
2022-03-31;5;58,2;24,3;
2022-04-30;4;11,2;24,3;
2022-05-31;0;0;22,1;
2022-06-30;0;0;20,7;
2022-07-31;0;0;21;
2022-08-31;0;0;22,6;
2022-09-30;4;19,8;24,9;
2022-10-31;5;55,2;27;
2022-11-30;22;288,2;23,6;
2022-12-31;23;348,4;23,6;
2023-01-31;21;217,4;23,9;
2023-02-28;5;5,2;25;
2023-03-31;9;41;24,9;
2023-04-30;6;30,6;24,4;
2023-05-31;3;24,6;23,4;
2023-06-30;0;0;22,1;
2023-07-31;0;0;22,1;
2023-08-31;3;26,6;24,2;
2023-09-30;0;0;26,5;
2023-10-31;6;30,4;28,4;
2023-11-30;7;5,2;28,2;
2023-12-31;null;null;28,1;
2024-01-31;null;null;25,6;
2024-02-29;null;null;24,8;
2024-03-31;null;null;null;
2024-04-30;null;null;25,9;
2024-05-31;0;0;24,4;
2024-06-30;0;0;22,7;
2024-07-31;0;0;21,6;
2024-08-31;0;0;23,8;
2024-09-30;0;0;25,3;
2024-10-31;null;null;null;

