Nome: ITABAIANINHA
Codigo Estacao: A417
Latitude: -11.27249999
Longitude: -37.79499999
Altitude: 204.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;7;95,2;26,8;
2020-02-29;13;57,6;27;
2020-03-31;12;145,8;26,8;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;7;null;null;
2020-12-31;4;3,2;25,7;
2021-01-31;16;51,6;25,7;
2021-02-28;1;,2;26,6;
2021-03-31;11;null;26,1;
2021-04-30;17;null;25;
2021-05-31;14;null;23,7;
2021-06-30;13;null;22,7;
2021-07-31;16;null;22,4;
2021-08-31;10;null;22;
2021-09-30;9;null;null;
2021-10-31;13;null;25,1;
2021-11-30;7;null;null;
2021-12-31;9;null;25,7;
2022-01-31;9;null;null;
2022-02-28;4;null;null;
2022-03-31;7;null;26;
2022-04-30;10;null;null;
2022-05-31;9;null;null;
2022-06-30;13;null;null;
2022-07-31;20;null;22,3;
2022-08-31;13;null;22;
2022-09-30;4;null;null;
2022-10-31;5;null;null;
2022-11-30;6;null;null;
2022-12-31;5;null;null;
2023-01-31;4;null;null;
2023-02-28;5;null;null;
2023-03-31;11;null;25,9;
2023-04-30;3;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;1;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;4;null;null;
2023-11-30;4;18,8;26,3;
2023-12-31;12;93,6;26,2;
2024-01-31;10;115,2;27;
2024-02-29;16;66,6;26,9;
2024-03-31;11;55,4;27,8;
2024-04-30;19;150,4;26,3;
2024-05-31;24;200,6;24,8;
2024-06-30;24;151,8;23,5;
2024-07-31;21;82,8;22,9;
2024-08-31;18;73,6;23,1;
2024-09-30;8;9,6;23,8;
2024-10-31;1;null;null;

