Nome: POCO VERDE
Codigo Estacao: A419
Latitude: -10.73805555
Longitude: -38.10833333
Altitude: 367.01
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;31,4;26,8;
2020-02-29;7;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;23,4;
2020-06-30;null;null;22,1;
2020-07-31;null;null;21,1;
2020-08-31;null;null;21,2;
2020-09-30;null;null;22,6;
2020-10-31;4;10,6;25;
2020-11-30;6;5,8;25;
2020-12-31;3;1,4;25,6;
2021-01-31;8;7;25,4;
2021-02-28;null;null;26,4;
2021-03-31;null;null;25,8;
2021-04-30;null;null;24,9;
2021-05-31;null;null;22,8;
2021-06-30;null;null;22,1;
2021-07-31;null;null;21,3;
2021-08-31;null;null;21,1;
2021-09-30;null;null;23,8;
2021-10-31;null;null;25,3;
2021-11-30;null;null;25,7;
2021-12-31;null;null;25,3;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;9;null;23,2;
2022-10-31;5;18,2;24,6;
2022-11-30;12;100,6;24,9;
2022-12-31;13;40,6;25,3;
2023-01-31;3;1,8;25,8;
2023-02-28;null;null;26,1;
2023-03-31;null;null;25,3;
2023-04-30;null;null;25,3;
2023-05-31;null;null;24,2;
2023-06-30;null;null;22,4;
2023-07-31;null;null;21,7;
2023-08-31;null;null;null;
2023-09-30;null;null;23,3;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

