Nome: CARIRA
Codigo Estacao: A420
Latitude: -10.39972221
Longitude: -37.74749999
Altitude: 289.92
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2022-09-04
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;27,3;
2020-02-29;null;null;27,3;
2020-03-31;null;null;26,7;
2020-04-30;null;null;25,7;
2020-05-31;null;null;24,1;
2020-06-30;null;null;22,7;
2020-07-31;null;null;21,6;
2020-08-31;null;null;21,7;
2020-09-30;null;null;22,8;
2020-10-31;null;null;25,5;
2020-11-30;null;null;25,8;
2020-12-31;null;null;26,3;
2021-01-31;null;null;26,1;
2021-02-28;null;null;27,1;
2021-03-31;null;null;26,6;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;

