Nome: IRECE
Codigo Estacao: A424
Latitude: -11.32888888
Longitude: -41.86444444
Altitude: 768.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;154,8;24,9;
2020-02-29;10;31;25,5;
2020-03-31;13;230;24;
2020-04-30;7;98,6;23,3;
2020-05-31;1;,4;22,6;
2020-06-30;6;9,2;21,5;
2020-07-31;1;2;21;
2020-08-31;2;,4;21,6;
2020-09-30;4;1,4;22,9;
2020-10-31;5;61,8;25,7;
2020-11-30;9;279;23,4;
2020-12-31;0;0;24,5;
2021-01-31;5;20;25,1;
2021-02-28;15;83;24;
2021-03-31;2;4,8;25,3;
2021-04-30;4;85;24,3;
2021-05-31;1;,6;22,2;
2021-06-30;0;0;21,8;
2021-07-31;0;0;21,5;
2021-08-31;0;0;21,6;
2021-09-30;0;0;24,6;
2021-10-31;4;81,8;25,6;
2021-11-30;11;201,8;23,6;
2021-12-31;20;304;22,6;
2022-01-31;10;121;23;
2022-02-28;4;5,8;24;
2022-03-31;8;24,6;23,9;
2022-04-30;4;5,4;24,1;
2022-05-31;1;,8;22,9;
2022-06-30;0;0;21,7;
2022-07-31;0;0;21,1;
2022-08-31;null;0;21,8;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;3;null;null;
2024-05-31;1;,2;23,6;
2024-06-30;2;,6;22,1;
2024-07-31;0;0;21,3;
2024-08-31;0;0;22,6;
2024-09-30;0;0;23,5;
2024-10-31;null;null;null;

