Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.55777777
Longitude: -41.38888888
Altitude: 438.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;280,6;25,7;
2020-02-29;9;38,2;26,6;
2020-03-31;21;301,4;25,2;
2020-04-30;22;237,4;24,4;
2020-05-31;18;90;23,2;
2020-06-30;19;86,2;21,9;
2020-07-31;16;87,2;21,3;
2020-08-31;13;64,2;21,7;
2020-09-30;15;43;23;
2020-10-31;12;117;25,5;
2020-11-30;18;310,2;23,7;
2020-12-31;7;6,8;25,2;
2021-01-31;4;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;12;null;25,9;
2021-11-30;21;304,2;24,4;
2021-12-31;24;603,2;24,1;
2022-01-31;18;197,8;24,7;
2022-02-28;12;60,4;25,7;
2022-03-31;21;132,2;24,9;
2022-04-30;16;74,6;24,4;
2022-05-31;8;29;23,4;
2022-06-30;12;38,8;21,9;
2022-07-31;18;76;21,5;
2022-08-31;4;4,6;22,5;
2022-09-30;9;15,4;24,1;
2022-10-31;12;13,4;25,6;
2022-11-30;23;221,6;24,2;
2022-12-31;22;290,4;24,2;
2023-01-31;20;117,8;25,2;
2023-02-28;17;10,8;25,9;
2023-03-31;null;null;25,4;
2023-04-30;null;null;25,5;
2023-05-31;null;null;23,8;
2023-06-30;null;null;22,3;
2023-07-31;null;null;21,9;
2023-08-31;2;null;23,4;
2023-09-30;6;29,2;24,9;
2023-10-31;6;2,4;26,9;
2023-11-30;2;1;27,6;
2023-12-31;3;,6;27,9;
2024-01-31;11;209,8;26,8;
2024-02-29;18;293,4;25,3;
2024-03-31;12;48,8;26,9;
2024-04-30;24;164,2;25,6;
2024-05-31;16;78,4;23,6;
2024-06-30;16;93,4;22,1;
2024-07-31;14;62,8;21,7;
2024-08-31;15;43,6;22,5;
2024-09-30;8;23,6;23,6;
2024-10-31;1;null;null;

