Nome: GUANAMBI
Codigo Estacao: A426
Latitude: -14.20805555
Longitude: -42.74972221
Altitude: 552.23
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;null;26,6;
2020-02-29;6;38,2;26,7;
2020-03-31;5;null;25,5;
2020-04-30;4;null;25,5;
2020-05-31;1;null;24,1;
2020-06-30;null;null;null;
2020-07-31;null;0;23,3;
2020-08-31;null;0;24,1;
2020-09-30;null;0;26,1;
2020-10-31;2;null;28;
2020-11-30;6;null;25,2;
2020-12-31;1;12,2;26,5;
2021-01-31;2;59,4;27,3;
2021-02-28;9;null;25,4;
2021-03-31;2;null;26,6;
2021-04-30;3;null;26,2;
2021-05-31;null;0;24,7;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;3;null;27,2;
2021-11-30;15;141,8;25,3;
2021-12-31;17;null;24,4;
2022-01-31;8;113,6;25,5;
2022-02-28;10;59,8;25,9;
2022-03-31;null;null;26,7;
2022-04-30;null;null;26,7;
2022-05-31;null;null;24,9;
2022-06-30;null;0;23,9;
2022-07-31;null;0;23,3;
2022-08-31;null;0;24,3;
2022-09-30;1;1,2;26,4;
2022-10-31;1;14,2;28;
2022-11-30;12;null;24,6;
2022-12-31;13;null;24,6;
2023-01-31;6;null;26;
2023-02-28;null;0;27,4;
2023-03-31;0;0;27,7;
2023-04-30;6;27,8;27,1;
2023-05-31;4;18,8;25,5;
2023-06-30;null;null;24,4;
2023-07-31;null;0;24,4;
2023-08-31;2;,6;26,3;
2023-09-30;1;,2;28,1;
2023-10-31;1;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;0;0;26,1;
2024-06-30;0;0;24,4;
2024-07-31;0;0;23,8;
2024-08-31;0;0;25;
2024-09-30;0;0;26;
2024-10-31;null;null;null;

