Nome: PORTO SEGURO
Codigo Estacao: A427
Latitude: -16.38888888
Longitude: -39.18249999
Altitude: 86.36
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;77,2;25,8;
2020-02-29;9;17;26,2;
2020-03-31;18;229,6;25,3;
2020-04-30;22;204;24,5;
2020-05-31;26;122,8;22,9;
2020-06-30;24;198,4;21,9;
2020-07-31;28;130,8;21,2;
2020-08-31;13;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;23,9;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;20,6;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;7;null;24,1;
2022-05-31;19;199;22,6;
2022-06-30;22;34,2;20,9;
2022-07-31;30;201;20,8;
2022-08-31;27;104,4;20,5;
2022-09-30;21;136,4;21,5;
2022-10-31;15;137;23,5;
2022-11-30;22;441,2;23,1;
2022-12-31;23;441,4;24,4;
2023-01-31;20;95,8;24,9;
2023-02-28;15;140,8;25,1;
2023-03-31;26;96,2;24,6;
2023-04-30;19;361;24,6;
2023-05-31;17;152,6;22,8;
2023-06-30;18;53,6;21,4;
2023-07-31;19;110,6;21;
2023-08-31;14;34;21,7;
2023-09-30;1;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

