Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;86,8;25,9;
2020-02-29;6;18,2;26;
2020-03-31;16;124,8;25,4;
2020-04-30;18;108,2;24,1;
2020-05-31;20;110,6;22,5;
2020-06-30;23;112,6;21,1;
2020-07-31;19;70,8;20,4;
2020-08-31;15;49,8;20,7;
2020-09-30;13;25,8;22,9;
2020-10-31;3;10,6;25,9;
2020-11-30;7;146,6;24;
2020-12-31;0;0;25,4;
2021-01-31;null;null;26,1;
2021-02-28;5;35,6;25,9;
2021-03-31;2;9,4;26,4;
2021-04-30;12;116;24,9;
2021-05-31;10;58,6;22,1;
2021-06-30;7;32,2;21,8;
2021-07-31;17;78,2;20,7;
2021-08-31;12;25,4;21;
2021-09-30;4;3;24,3;
2021-10-31;6;34,2;25,9;
2021-11-30;3;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;1;null;23,7;
2022-10-31;4;3,8;25,2;
2022-11-30;8;null;23,9;
2022-12-31;5;null;null;
2023-01-31;6;18,4;25;
2023-02-28;8;3,6;26,1;
2023-03-31;9;null;25,2;
2023-04-30;7;null;25,5;
2023-05-31;15;108;23,2;
2023-06-30;17;null;21,4;
2023-07-31;3;null;22;
2023-08-31;8;null;23,2;
2023-09-30;7;7,8;24,8;
2023-10-31;null;0;26,8;
2023-11-30;4;13,2;27,3;
2023-12-31;null;null;27,4;
2024-01-31;null;null;27,4;
2024-02-29;null;null;25,4;
2024-03-31;8;124,8;25,7;
2024-04-30;11;null;24,6;
2024-05-31;16;46,8;23,2;
2024-06-30;11;null;21,8;
2024-07-31;11;null;21,4;
2024-08-31;3;null;null;
2024-09-30;4;2,8;23,8;
2024-10-31;null;null;null;

