Nome: BURITIRAMA
Codigo Estacao: A432
Latitude: -10.72305554
Longitude: -43.65111111
Altitude: 506.06
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;133;26,1;
2020-02-29;10;67,8;25,8;
2020-03-31;11;99,4;25;
2020-04-30;7;46,6;26,9;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;3;null;null;
2022-04-30;4;null;26,4;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;0;0;24,6;
2022-08-31;0;0;26;
2022-09-30;2;1,2;27,8;
2022-10-31;2;13,4;29,3;
2022-11-30;17;185,4;24,9;
2022-12-31;18;180,6;26,4;
2023-01-31;12;84;26,9;
2023-02-28;5;61,4;27,3;
2023-03-31;13;140,2;27;
2023-04-30;8;32,8;26,8;
2023-05-31;2;7,6;26,8;
2023-06-30;0;0;26,2;
2023-07-31;1;,2;25,7;
2023-08-31;0;0;27,4;
2023-09-30;null;0;28,9;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;11;null;27,1;
2024-02-29;9;129,4;26,3;
2024-03-31;7;23,2;26,5;
2024-04-30;10;149,4;26,5;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

