Nome: BRUMADO
Codigo Estacao: A433
Latitude: -14.18194443
Longitude: -41.67222221
Altitude: 473.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;214,2;25,5;
2020-02-29;3;14,4;26,7;
2020-03-31;14;241;25;
2020-04-30;16;142,6;24,4;
2020-05-31;15;31,6;22,7;
2020-06-30;10;7,4;22,1;
2020-07-31;6;10,2;22;
2020-08-31;7;6,2;22,9;
2020-09-30;3;2;25;
2020-10-31;6;87,4;26,9;
2020-11-30;20;200,8;23,9;
2020-12-31;2;1,8;26;
2021-01-31;2;6;26,9;
2021-02-28;12;103,2;25,3;
2021-03-31;4;24,4;26,3;
2021-04-30;7;33,2;25,7;
2021-05-31;2;1;24;
2021-06-30;4;2,2;23,4;
2021-07-31;1;null;22,9;
2021-08-31;7;11;22,9;
2021-09-30;1;1,2;26,2;
2021-10-31;8;87,2;26,7;
2021-11-30;15;202,8;24,3;
2021-12-31;18;323,8;24;
2022-01-31;10;null;24,6;
2022-02-28;5;null;25,9;
2022-03-31;4;1,2;26,2;
2022-04-30;7;64,6;26;
2022-05-31;4;2,8;23,6;
2022-06-30;0;0;22,2;
2022-07-31;11;14,6;22,3;
2022-08-31;2;,8;23;
2022-09-30;4;4;25;
2022-10-31;2;4,8;26,8;
2022-11-30;17;243,4;24,5;
2022-12-31;20;287,2;23,8;
2023-01-31;7;84,8;25,2;
2023-02-28;1;,2;26,2;
2023-03-31;2;3,8;26,4;
2023-04-30;11;31,2;25,8;
2023-05-31;5;4,6;24,2;
2023-06-30;2;2;22,9;
2023-07-31;4;1,2;22,8;
2023-08-31;2;17;24,8;
2023-09-30;2;57,8;25,7;
2023-10-31;2;18,6;27,8;
2023-11-30;3;3,6;29;
2023-12-31;4;49,8;29;
2024-01-31;14;233,8;26,9;
2024-02-29;13;140,2;25,1;
2024-03-31;4;6,4;26,7;
2024-04-30;8;16,6;26,5;
2024-05-31;6;12,6;24,9;
2024-06-30;4;7;23,3;
2024-07-31;8;5,6;22,5;
2024-08-31;4;3,4;23,9;
2024-09-30;0;0;25;
2024-10-31;null;null;null;

