Nome: AMARGOSA
Codigo Estacao: A434
Latitude: -13.00944444
Longitude: -39.61694443
Altitude: 397.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;116,4;25;
2020-02-29;9;18;25,7;
2020-03-31;14;158,4;24,9;
2020-04-30;17;219,4;23,9;
2020-05-31;15;92,6;22,5;
2020-06-30;23;99,4;21,4;
2020-07-31;22;103;20,5;
2020-08-31;21;157,2;20,2;
2020-09-30;20;109,8;21,2;
2020-10-31;12;90,8;23,2;
2020-11-30;17;178,6;23,1;
2020-12-31;6;5;23,9;
2021-01-31;15;52,4;23,5;
2021-02-28;10;105,4;24;
2021-03-31;9;59,8;23,8;
2021-04-30;13;175,4;23;
2021-05-31;9;29,6;21,6;
2021-06-30;16;54;20,9;
2021-07-31;16;58,2;20;
2021-08-31;22;72;19,6;
2021-09-30;7;19,6;21,7;
2021-10-31;12;47,8;23,4;
2021-11-30;19;298,4;23,2;
2021-12-31;22;462,2;23,2;
2022-01-31;13;61,8;23,5;
2022-02-28;1;null;null;
2022-03-31;15;null;23,2;
2022-04-30;12;null;22,6;
2022-05-31;11;null;21,8;
2022-06-30;7;null;20,5;
2022-07-31;6;null;null;
2022-08-31;15;51,6;19,9;
2022-09-30;12;44,8;20,8;
2022-10-31;16;56,8;22,2;
2022-11-30;20;184,8;22,4;
2022-12-31;8;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;12;46;22;
2023-06-30;14;27;20,6;
2023-07-31;15;78,8;20,3;
2023-08-31;15;43,4;20,9;
2023-09-30;18;59,8;21,4;
2023-10-31;11;36;22,9;
2023-11-30;7;18,8;24;
2023-12-31;9;74;24,4;
2024-01-31;9;218,4;24,9;
2024-02-29;18;116,6;24,2;
2024-03-31;14;81,2;25,2;
2024-04-30;17;106,4;23,8;
2024-05-31;20;128,2;22,2;
2024-06-30;23;89,2;20,7;
2024-07-31;22;67,2;20;
2024-08-31;21;127,8;20,1;
2024-09-30;23;72;20,5;
2024-10-31;6;null;null;

