Nome: UNA
Codigo Estacao: A437
Latitude: -15.28027777
Longitude: -39.09138888
Altitude: 74.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;37,8;25,9;
2020-02-29;null;null;26,2;
2020-03-31;null;null;25,5;
2020-04-30;null;null;24,9;
2020-05-31;null;null;23,6;
2020-06-30;null;null;22,8;
2020-07-31;null;null;21,9;
2020-08-31;null;null;21,5;
2020-09-30;null;null;22,6;
2020-10-31;null;null;24,2;
2020-11-30;null;null;24,1;
2020-12-31;null;null;24,8;
2021-01-31;null;null;24,8;
2021-02-28;null;null;25,1;
2021-03-31;null;null;25;
2021-04-30;null;null;24,5;
2021-05-31;null;null;23;
2021-06-30;null;null;22,3;
2021-07-31;null;null;21,5;
2021-08-31;null;null;21,2;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;5;null;null;
2022-10-31;21;208,4;23,8;
2022-11-30;23;328,8;23,6;
2022-12-31;22;256,2;24,7;
2023-01-31;25;170,2;25,3;
2023-02-28;20;113,8;25,5;
2023-03-31;28;147;25,1;
2023-04-30;21;232,8;25,1;
2023-05-31;21;141,8;23,7;
2023-06-30;21;102;22,4;
2023-07-31;25;150,6;21,8;
2023-08-31;21;70,6;22,7;
2023-09-30;19;129;23,5;
2023-10-31;16;39,4;24,6;
2023-11-30;12;36,4;25,2;
2023-12-31;14;106,2;26;
2024-01-31;18;247;26,4;
2024-02-29;21;192,2;26,3;
2024-03-31;null;null;27;
2024-04-30;null;null;25,6;
2024-05-31;null;null;24,6;
2024-06-30;null;null;22,8;
2024-07-31;null;null;22,1;
2024-08-31;null;null;22,4;
2024-09-30;null;null;22,7;
2024-10-31;null;null;null;

