Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;174,8;26,9;
2020-02-29;20;152,2;27,3;
2020-03-31;21;169,8;27;
2020-04-30;24;446,4;26,1;
2020-05-31;24;314;24,8;
2020-06-30;28;241;24,1;
2020-07-31;27;266,6;23,4;
2020-08-31;27;293,2;23;
2020-09-30;23;85;24,2;
2020-10-31;18;75,4;25,6;
2020-11-30;18;120,2;25,7;
2020-12-31;20;129;26,4;
2021-01-31;22;110,4;26,1;
2021-02-28;14;null;26,4;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;15;null;26;
2021-11-30;9;null;null;
2021-12-31;1;null;null;
2022-01-31;null;null;null;
2022-02-28;10;null;27;
2022-03-31;26;545;26,1;
2022-04-30;24;396;26;
2022-05-31;21;155;24,9;
2022-06-30;24;134,2;23,3;
2022-07-31;28;202,8;23,3;
2022-08-31;24;162,2;22,9;
2022-09-30;17;95,4;23,7;
2022-10-31;22;287;25,2;
2022-11-30;23;203,6;25,1;
2022-12-31;19;114,8;26,1;
2023-01-31;24;253,6;26,5;
2023-02-28;21;158,4;26,8;
2023-03-31;28;315;26,5;
2023-04-30;21;117,2;26,5;
2023-05-31;26;341;25;
2023-06-30;10;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;null;null;null;
2024-04-30;8;null;null;
2024-05-31;19;null;26;
2024-06-30;26;298,4;24,5;
2024-07-31;5;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

