Nome: SERRINHA
Codigo Estacao: A441
Latitude: -11.66472222
Longitude: -39.02305554
Altitude: 337.79
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;9;64,4;26,6;
2020-02-29;8;78,6;26,7;
2020-03-31;15;120,4;25,9;
2020-04-30;null;null;24,9;
2020-05-31;null;null;23,3;
2020-06-30;null;null;22,1;
2020-07-31;null;null;21,2;
2020-08-31;null;null;null;
2020-09-30;null;null;23,1;
2020-10-31;2;null;null;
2020-11-30;5;null;24,6;
2020-12-31;7;7;26;
2021-01-31;10;12;25,9;
2021-02-28;3;8,4;26,9;
2021-03-31;5;26,4;26,4;
2021-04-30;12;31,4;25;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;26;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;21,1;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;26,1;
2023-02-28;null;null;26,6;
2023-03-31;null;null;25,2;
2023-04-30;null;null;25,4;
2023-05-31;null;null;24;
2023-06-30;21;76;22,1;
2023-07-31;10;12,2;22,2;
2023-08-31;12;55,4;23;
2023-09-30;12;21,4;24,2;
2023-10-31;3;2,8;26,1;
2023-11-30;5;5,6;27,1;
2023-12-31;9;55,6;26,7;
2024-01-31;10;52,8;27,3;
2024-02-29;12;108,4;26,4;
2024-03-31;5;7,8;27,8;
2024-04-30;18;105,6;26;
2024-05-31;null;null;24;
2024-06-30;null;null;22,8;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

