Nome: EUCLIDES DA CUNHA
Codigo Estacao: A442
Latitude: -10.53722221
Longitude: -38.99666666
Altitude: 431.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;null;26,5;
2020-02-29;5;null;26,3;
2020-03-31;10;null;25,3;
2020-04-30;5;null;25,4;
2020-05-31;15;null;23,2;
2020-06-30;23;null;21,7;
2020-07-31;24;94,8;20,8;
2020-08-31;22;82,2;21,1;
2020-09-30;9;15,4;22,9;
2020-10-31;4;14,4;25,8;
2020-11-30;14;165,4;24,7;
2020-12-31;3;9,2;25,7;
2021-01-31;4;null;25,5;
2021-02-28;6;null;26,4;
2021-03-31;1;null;26,3;
2021-04-30;14;49,4;25,4;
2021-05-31;14;70;22,8;
2021-06-30;15;null;22,2;
2021-07-31;9;null;null;
2021-08-31;6;null;21,4;
2021-09-30;4;null;24,1;
2021-10-31;1;null;null;
2021-11-30;11;null;25,5;
2021-12-31;10;31,4;25,5;
2022-01-31;11;28,2;25,4;
2022-02-28;3;null;26,4;
2022-03-31;null;null;null;
2022-04-30;1;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;1;null;null;
2023-12-31;5;45,8;27,2;
2024-01-31;11;174,6;27,4;
2024-02-29;15;147,4;25,9;
2024-03-31;7;14,8;27,4;
2024-04-30;19;158,8;25,6;
2024-05-31;27;79,6;23,8;
2024-06-30;24;90;22,4;
2024-07-31;24;80;21,5;
2024-08-31;14;35,2;22,8;
2024-09-30;6;5,8;24,3;
2024-10-31;2;null;null;

