Nome: ITAPETINGA
Codigo Estacao: A446
Latitude: -15.24472221
Longitude: -40.22944443
Altitude: 271.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;279,6;26,4;
2020-02-29;6;15,2;27,3;
2020-03-31;21;171,6;25,4;
2020-04-30;18;152;24,4;
2020-05-31;16;46,2;22,9;
2020-06-30;18;56;21,8;
2020-07-31;22;46,2;21;
2020-08-31;22;52;20,7;
2020-09-30;12;32;23,2;
2020-10-31;9;62,6;25,2;
2020-11-30;19;209;23,7;
2020-12-31;5;6,4;25,6;
2021-01-31;null;null;25,7;
2021-02-28;null;null;25,8;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;3;null;null;
2021-12-31;20;439,6;24,5;
2022-01-31;9;21,6;25,6;
2022-02-28;null;null;26,4;
2022-03-31;null;null;25;
2022-04-30;null;null;25,2;
2022-05-31;null;null;23,1;
2022-06-30;null;null;21,6;
2022-07-31;null;null;21,3;
2022-08-31;null;null;21,8;
2022-09-30;8;null;22,9;
2022-10-31;8;16;25,2;
2022-11-30;18;180,4;24;
2022-12-31;17;null;24,3;
2023-01-31;null;null;25,4;
2023-02-28;null;null;25,9;
2023-03-31;null;null;25,8;
2023-04-30;null;null;24,9;
2023-05-31;8;null;22,6;
2023-06-30;11;29,8;22;
2023-07-31;11;27,2;21,6;
2023-08-31;11;53,8;23;
2023-09-30;15;34,4;24;
2023-10-31;9;24,2;26,1;
2023-11-30;6;23;27,2;
2023-12-31;4;65;27,8;
2024-01-31;13;252,8;27;
2024-02-29;19;159,6;25,8;
2024-03-31;7;35,8;27,4;
2024-04-30;16;34;25,6;
2024-05-31;16;22,2;24,2;
2024-06-30;21;46,6;22,4;
2024-07-31;17;25,6;21,5;
2024-08-31;18;84,6;21,9;
2024-09-30;10;11,8;23,4;
2024-10-31;1;null;null;

