Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;10;74,2;28,2;
2020-02-29;10;90;27,9;
2020-03-31;14;182,6;27,4;
2020-04-30;16;106;26,6;
2020-05-31;16;82,6;24,8;
2020-06-30;24;125,8;23,2;
2020-07-31;24;62,6;22,2;
2020-08-31;18;47,2;22,6;
2020-09-30;10;15;24,3;
2020-10-31;2;56,2;27;
2020-11-30;13;113,6;26,4;
2020-12-31;5;13,2;27,3;
2021-01-31;4;7,6;27,2;
2021-02-28;5;38,6;27,9;
2021-03-31;5;6;27,6;
2021-04-30;12;127,4;26,5;
2021-05-31;14;74,6;24,1;
2021-06-30;15;46,6;23,5;
2021-07-31;23;78,2;22,7;
2021-08-31;12;32,8;22,9;
2021-09-30;6;13,4;25,6;
2021-10-31;4;43,8;27,2;
2021-11-30;11;65,6;27,3;
2021-12-31;8;91,4;27,1;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;4;null;25;
2022-10-31;2;1,4;26,5;
2022-11-30;12;42;26,8;
2022-12-31;13;145,2;26,4;
2023-01-31;6;39;27,1;
2023-02-28;4;null;27,6;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;2;null;null;
2023-09-30;13;22,8;25,5;
2023-10-31;4;7;27,3;
2023-11-30;5;8,8;28,5;
2023-12-31;4;60,4;28,2;
2024-01-31;10;98,4;28,6;
2024-02-29;14;68,2;28,1;
2024-03-31;8;19,4;29,4;
2024-04-30;19;190;27,5;
2024-05-31;17;74,6;25,6;
2024-06-30;23;87;23,6;
2024-07-31;13;null;23,2;
2024-08-31;6;null;24,5;
2024-09-30;5;null;25,6;
2024-10-31;null;null;null;

