Nome: ITAMARAJU
Codigo Estacao: A455
Latitude: -17.00694444
Longitude: -39.55805555
Altitude: 110
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;69,4;26,5;
2020-02-29;6;8,2;27,4;
2020-03-31;18;188,2;25,3;
2020-04-30;17;null;24,5;
2020-05-31;13;null;23,1;
2020-06-30;6;null;null;
2020-07-31;1;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;6;null;null;
2022-09-30;15;142,4;21,8;
2022-10-31;16;91,2;24,2;
2022-11-30;22;445,2;23,5;
2022-12-31;25;506,4;24,5;
2023-01-31;21;190,6;25,2;
2023-02-28;3;null;26,3;
2023-03-31;8;null;null;
2023-04-30;17;283,6;25;
2023-05-31;22;96,8;23,1;
2023-06-30;13;null;21,9;
2023-07-31;3;null;null;
2023-08-31;4;null;null;
2023-09-30;16;71;23,4;
2023-10-31;12;46,2;25,1;
2023-11-30;4;14,8;26,5;
2023-12-31;8;50,6;26,9;
2024-01-31;18;219;26,9;
2024-02-29;12;null;26,5;
2024-03-31;13;null;27,2;
2024-04-30;5;null;null;
2024-05-31;6;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

