Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;6;60,4;27,8;
2020-02-29;9;53,8;27,9;
2020-03-31;15;233,6;27;
2020-04-30;15;111,6;26,2;
2020-05-31;16;100;24,5;
2020-06-30;26;107,8;23,2;
2020-07-31;5;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;3;null;null;
2020-12-31;1;1,2;26,8;
2021-01-31;7;null;26,5;
2021-02-28;5;32,2;27,4;
2021-03-31;5;16,6;26,9;
2021-04-30;13;78,6;26,1;
2021-05-31;14;62;23,7;
2021-06-30;17;48;22,9;
2021-07-31;26;110,4;22,3;
2021-08-31;16;23,6;21,9;
2021-09-30;12;10;24,5;
2021-10-31;6;16;26,6;
2021-11-30;11;158,2;26,4;
2021-12-31;13;95;26,2;
2022-01-31;10;52,2;26,1;
2022-02-28;null;null;27,6;
2022-03-31;8;null;26,4;
2022-04-30;16;83,6;26,1;
2022-05-31;15;116,6;24,5;
2022-06-30;11;26;23,1;
2022-07-31;23;50,6;22,2;
2022-08-31;15;31,2;22,4;
2022-09-30;11;32,4;23,7;
2022-10-31;3;null;25,8;
2022-11-30;9;null;26,4;
2022-12-31;8;null;26,4;
2023-01-31;7;null;26,4;
2023-02-28;10;43,2;26,7;
2023-03-31;14;156,2;26;
2023-04-30;12;10,8;26,1;
2023-05-31;19;77;25,1;
2023-06-30;24;85,4;23,2;
2023-07-31;12;35,4;22,8;
2023-08-31;15;35,6;23,7;
2023-09-30;8;13,6;24,8;
2023-10-31;5;null;26,6;
2023-11-30;4;null;27,8;
2023-12-31;5;null;27,3;
2024-01-31;6;null;28,2;
2024-02-29;12;null;27,5;
2024-03-31;5;61,2;28,6;
2024-04-30;19;57,2;26,9;
2024-05-31;20;69,8;25,1;
2024-06-30;21;83,4;23,7;
2024-07-31;18;39,2;22,6;
2024-08-31;12;38,2;23,1;
2024-09-30;9;10;24,1;
2024-10-31;1;null;null;

