Nome: BARBACENA
Codigo Estacao: A502
Latitude: -21.22833332
Longitude: -43.76777777
Altitude: 1168.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;224,6;20,9;
2020-02-29;23;334;20,2;
2020-03-31;21;232,6;19;
2020-04-30;16;46,8;17,9;
2020-05-31;13;24,2;15,7;
2020-06-30;12;5,4;16,7;
2020-07-31;7;4,6;16,6;
2020-08-31;6;19,8;15,9;
2020-09-30;5;29,8;20,4;
2020-10-31;14;93,2;19,7;
2020-11-30;15;158,2;19,2;
2020-12-31;27;339,6;20,6;
2021-01-31;11;183;21,3;
2021-02-28;22;251,8;20;
2021-03-31;12;115,8;20,6;
2021-04-30;11;52;17,8;
2021-05-31;8;null;17,1;
2021-06-30;17;10,8;15,5;
2021-07-31;5;1;14,8;
2021-08-31;5;16,4;16,4;
2021-09-30;7;66,6;19,8;
2021-10-31;21;262,6;18,1;
2021-11-30;16;132;18,8;
2021-12-31;21;278,2;19,2;
2022-01-31;20;362,2;20,7;
2022-02-28;24;301,8;20;
2022-03-31;6;64,2;21,1;
2022-04-30;13;70;19;
2022-05-31;8;17,4;16,3;
2022-06-30;4;3,8;15,6;
2022-07-31;1;,2;16,2;
2022-08-31;3;14,2;15,8;
2022-09-30;7;78;17,2;
2022-10-31;16;182,2;19,6;
2022-11-30;18;384,6;17,7;
2022-12-31;23;309,4;19;
2023-01-31;25;523,6;19,8;
2023-02-28;16;null;21,1;
2023-03-31;11;80,8;20,7;
2023-04-30;13;160,4;18,3;
2023-05-31;13;4;16,2;
2023-06-30;8;null;15,5;
2023-07-31;7;10,2;15,8;
2023-08-31;9;51,6;17,7;
2023-09-30;6;14,8;20;
2023-10-31;20;239;20,8;
2023-11-30;14;139,4;21,9;
2023-12-31;20;161,2;21,4;
2024-01-31;27;323,2;20,9;
2024-02-29;23;274,4;21,2;
2024-03-31;21;282;21,4;
2024-04-30;8;9,2;20,1;
2024-05-31;7;11,6;19,5;
2024-06-30;7;1,4;17,4;
2024-07-31;4;11,4;17;
2024-08-31;5;8,2;17,6;
2024-09-30;3;93;20,5;
2024-10-31;null;null;null;

