Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;308,6;23,1;
2020-02-29;26;479,8;21,8;
2020-03-31;18;209,8;22,2;
2020-04-30;8;30,4;21,8;
2020-05-31;6;59,4;18,9;
2020-06-30;1;3;19,7;
2020-07-31;0;0;20;
2020-08-31;1;2,6;20;
2020-09-30;2;12,8;24,3;
2020-10-31;13;93,4;24,4;
2020-11-30;14;134,8;22,7;
2020-12-31;22;263,2;22,3;
2021-01-31;13;125,4;23,3;
2021-02-28;21;235,2;22,1;
2021-03-31;12;120,2;22,8;
2021-04-30;2;12,4;21,6;
2021-05-31;5;21,8;20,7;
2021-06-30;3;19,4;19,8;
2021-07-31;null;0;18,7;
2021-08-31;3;1;21,2;
2021-09-30;5;19,2;25,4;
2021-10-31;16;237,4;22,5;
2021-11-30;9;71,4;22,7;
2021-12-31;null;null;22;
2022-01-31;null;null;22,1;
2022-02-28;null;null;21,8;
2022-03-31;null;null;23,6;
2022-04-30;null;null;22,7;
2022-05-31;null;null;19,8;
2022-06-30;null;null;19,4;
2022-07-31;null;null;19,9;
2022-08-31;1;10,4;20,9;
2022-09-30;8;65,6;22,5;
2022-10-31;16;null;23,1;
2022-11-30;11;null;22;
2022-12-31;25;359,2;21,6;
2023-01-31;30;554,8;21,4;
2023-02-28;15;246,4;22,9;
2023-03-31;16;154;23;
2023-04-30;16;154,4;21,2;
2023-05-31;4;7,8;19,9;
2023-06-30;1;7,4;19,1;
2023-07-31;2;6;20,1;
2023-08-31;7;49,2;22;
2023-09-30;6;50;24,9;
2023-10-31;13;237;24,4;
2023-11-30;11;122;25,2;
2023-12-31;12;180;24,5;
2024-01-31;19;177,6;23,4;
2024-02-29;17;132,2;23,2;
2024-03-31;16;322,6;23,6;
2024-04-30;5;69;23,5;
2024-05-31;1;1,4;22,3;
2024-06-30;0;0;20,8;
2024-07-31;0;0;20,9;
2024-08-31;null;0;21,8;
2024-09-30;1;1;25,6;
2024-10-31;null;null;null;

