Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;298,8;24,9;
2020-02-29;11;64,8;25,3;
2020-03-31;22;186,4;23,7;
2020-04-30;9;27,4;23,5;
2020-05-31;6;43,6;21,1;
2020-06-30;1;,8;21,1;
2020-07-31;1;,2;21;
2020-08-31;0;0;22;
2020-09-30;1;2;25,5;
2020-10-31;13;151,4;26,4;
2020-11-30;14;160,8;23,9;
2020-12-31;13;89;24,7;
2021-01-31;4;28;25,6;
2021-02-28;11;116,2;23,8;
2021-03-31;null;null;24,1;
2021-04-30;null;null;23,1;
2021-05-31;null;null;22,2;
2021-06-30;null;null;21,2;
2021-07-31;null;null;20,5;
2021-08-31;null;null;21,9;
2021-09-30;null;null;26,3;
2021-10-31;null;null;25,9;
2021-11-30;4;null;23,2;
2021-12-31;24;334,8;23,5;
2022-01-31;15;166,2;24,2;
2022-02-28;14;141,8;23,9;
2022-03-31;2;1,2;24,8;
2022-04-30;6;66,4;24;
2022-05-31;2;3,8;21,1;
2022-06-30;0;0;20,1;
2022-07-31;0;0;20,7;
2022-08-31;0;0;22,2;
2022-09-30;1;4,6;24,7;
2022-10-31;7;33,6;25,9;
2022-11-30;18;266;23,6;
2022-12-31;23;271,8;23,3;
2023-01-31;22;314;23,7;
2023-02-28;3;2,6;25,6;
2023-03-31;0;0;25,6;
2023-04-30;8;59,4;24,9;
2023-05-31;0;0;22,5;
2023-06-30;1;,2;21,1;
2023-07-31;1;6,2;21,7;
2023-08-31;6;20,8;23,6;
2023-09-30;3;7;26,4;
2023-10-31;11;183;27,3;
2023-11-30;7;146,4;27,3;
2023-12-31;11;125;27,2;
2024-01-31;20;272,6;25,3;
2024-02-29;18;306,6;24,5;
2024-03-31;7;18,4;26,2;
2024-04-30;4;89,8;24,4;
2024-05-31;0;0;23,4;
2024-06-30;0;0;21,5;
2024-07-31;0;0;21;
2024-08-31;0;0;22,9;
2024-09-30;0;0;25,4;
2024-10-31;null;null;null;

