Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.16666666
Longitude: -40.68777777
Altitude: 189.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;115;27,8;
2020-02-29;4;18,2;28,5;
2020-03-31;21;239,8;26,1;
2020-04-30;12;null;26,1;
2020-05-31;1;null;null;
2020-06-30;1;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;15;null;26,3;
2020-11-30;26;246;24,6;
2020-12-31;4;3,8;27,1;
2021-01-31;13;17,6;27,3;
2021-02-28;13;78;26,8;
2021-03-31;6;10,4;27,8;
2021-04-30;12;142,8;25,5;
2021-05-31;5;9;24,1;
2021-06-30;6;25;23,1;
2021-07-31;2;14,2;22,8;
2021-08-31;11;26,6;22,9;
2021-09-30;5;10,4;25,8;
2021-10-31;13;128;26,6;
2021-11-30;19;193,4;25,4;
2021-12-31;24;579,2;25;
2022-01-31;9;69,4;26,6;
2022-02-28;null;null;27,6;
2022-03-31;10;null;26,7;
2022-04-30;8;78,8;25,9;
2022-05-31;12;58,6;23,3;
2022-06-30;2;,4;21,6;
2022-07-31;13;22,8;22,3;
2022-08-31;8;10;22,9;
2022-09-30;9;9,6;24,3;
2022-10-31;6;75,8;26,8;
2022-11-30;7;null;25,4;
2022-12-31;27;155,2;25;
2023-01-31;24;24,4;26,6;
2023-02-28;3;,6;27,5;
2023-03-31;0;0;26,9;
2023-04-30;null;null;26,1;
2023-05-31;4;null;24,3;
2023-06-30;0;0;22,9;
2023-07-31;0;0;22,7;
2023-08-31;null;null;24,2;
2023-09-30;null;null;25,8;
2023-10-31;null;null;27,5;
2023-11-30;null;null;29,1;
2023-12-31;7;145;29,4;
2024-01-31;15;262,2;28;
2024-02-29;16;155,2;27,3;
2024-03-31;8;108;28,6;
2024-04-30;17;80,8;26,8;
2024-05-31;10;30,8;25,5;
2024-06-30;16;47;23,3;
2024-07-31;6;5,2;23;
2024-08-31;14;48,8;24,6;
2024-09-30;4;6,2;27;
2024-10-31;1;null;null;

