Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;5;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;20,7;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;18;245,6;25,1;
2021-01-31;16;152,2;25,1;
2021-02-28;14;125;24,7;
2021-03-31;13;46,6;24,7;
2021-04-30;3;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;5;null;25;
2021-11-30;10;null;25,6;
2021-12-31;17;279,2;24,8;
2022-01-31;25;187,6;24,3;
2022-02-28;12;null;25;
2022-03-31;13;124,8;25,3;
2022-04-30;12;72,8;24,1;
2022-05-31;6;45,4;19,8;
2022-06-30;0;0;20,1;
2022-07-31;0;0;21,5;
2022-08-31;0;0;23;
2022-09-30;null;null;25;
2022-10-31;6;null;25,4;
2022-11-30;11;null;24,3;
2022-12-31;16;198,2;24,3;
2023-01-31;17;null;23,6;
2023-02-28;null;null;null;
2023-03-31;11;null;24,5;
2023-04-30;18;82;23,4;
2023-05-31;1;,2;20,6;
2023-06-30;0;0;19;
2023-07-31;1;6,2;21,1;
2023-08-31;3;12,2;23,3;
2023-09-30;1;10,8;26,9;
2023-10-31;null;null;27,9;
2023-11-30;null;null;27,6;
2023-12-31;null;null;27,7;
2024-01-31;null;null;25,4;
2024-02-29;null;null;25,7;
2024-03-31;null;null;25,8;
2024-04-30;null;null;25,2;
2024-05-31;0;0;22,6;
2024-06-30;0;0;22;
2024-07-31;0;0;21,6;
2024-08-31;0;0;22,7;
2024-09-30;null;null;27,6;
2024-10-31;null;null;null;

