Nome: SAO JOAO DEL REI
Codigo Estacao: A514
Latitude: -21.10638888
Longitude: -44.25083333
Altitude: 929.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;233,4;22,3;
2020-02-29;23;595,6;21,5;
2020-03-31;15;211,6;20,8;
2020-04-30;14;17;19,6;
2020-05-31;3;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;8;null;null;
2020-11-30;16;168,4;21,2;
2020-12-31;25;353;22,1;
2021-01-31;13;80,4;22,8;
2021-02-28;21;295;21,5;
2021-03-31;12;168,2;22;
2021-04-30;11;32,6;19,1;
2021-05-31;13;5;17,7;
2021-06-30;20;29,4;16,4;
2021-07-31;7;1,4;14,7;
2021-08-31;3;12,2;18;
2021-09-30;5;37,8;21,7;
2021-10-31;20;335,4;20,2;
2021-11-30;13;182;20,8;
2021-12-31;19;383,4;20,8;
2022-01-31;21;321,4;22;
2022-02-28;25;298;21,6;
2022-03-31;8;34,2;22,8;
2022-04-30;15;101,8;20,6;
2022-05-31;12;16,8;16,3;
2022-06-30;13;11,4;15,8;
2022-07-31;10;2;16,3;
2022-08-31;2;13,8;17,1;
2022-09-30;8;77,8;18,9;
2022-10-31;14;132,4;21,2;
2022-11-30;15;203,2;19,5;
2022-12-31;25;390,4;20,4;
2023-01-31;27;511;21,2;
2023-02-28;22;266;22,3;
2023-03-31;13;113,6;22;
2023-04-30;15;93,2;20;
2023-05-31;13;null;17,2;
2023-06-30;5;null;null;
2023-07-31;8;8,2;16,5;
2023-08-31;8;38,6;18,4;
2023-09-30;4;5,2;21,9;
2023-10-31;12;2,6;22,7;
2023-11-30;null;null;23,2;
2023-12-31;null;null;23,3;
2024-01-31;23;255,6;22,4;
2024-02-29;20;158,2;22,6;
2024-03-31;23;188;22,9;
2024-04-30;9;3;21,6;
2024-05-31;22;27;19,9;
2024-06-30;17;4;17,2;
2024-07-31;8;1,6;17,2;
2024-08-31;3;,8;18;
2024-09-30;2;33;21,9;
2024-10-31;null;null;null;

