Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;25;156,6;22,1;
2020-02-29;24;452,6;21,7;
2020-03-31;10;96,6;21,3;
2020-04-30;5;31,4;20,1;
2020-05-31;4;12,8;17;
2020-06-30;5;20,8;17,9;
2020-07-31;3;,6;18,2;
2020-08-31;2;14,8;18,2;
2020-09-30;4;34,2;22,6;
2020-10-31;8;23,2;22,7;
2020-11-30;4;null;21,7;
2020-12-31;null;null;21,9;
2021-01-31;null;null;22,8;
2021-02-28;16;null;21,5;
2021-03-31;10;59,2;22,2;
2021-04-30;7;10,2;19,3;
2021-05-31;7;29,6;18,1;
2021-06-30;11;32,2;16,8;
2021-07-31;2;,8;15,4;
2021-08-31;1;,4;18,9;
2021-09-30;3;29;22,9;
2021-10-31;21;178;20,5;
2021-11-30;null;null;21,2;
2021-12-31;13;206;21;
2022-01-31;29;192,2;21,9;
2022-02-28;23;148,6;21,5;
2022-03-31;8;5,2;22,9;
2022-04-30;5;13,8;20,9;
2022-05-31;null;null;17;
2022-06-30;null;null;16,9;
2022-07-31;null;null;17,9;
2022-08-31;3;17;18;
2022-09-30;9;101;19,7;
2022-10-31;13;98;21,6;
2022-11-30;6;12,8;19,9;
2022-12-31;24;351,4;20,9;
2023-01-31;27;489,4;21,1;
2023-02-28;20;288,2;22,1;
2023-03-31;14;130,8;22;
2023-04-30;9;22,4;20;
2023-05-31;0;0;17,7;
2023-06-30;0;null;16,3;
2023-07-31;null;null;17,1;
2023-08-31;null;null;19,5;
2023-09-30;null;null;23,1;
2023-10-31;null;null;22,9;
2023-11-30;null;null;23,9;
2023-12-31;null;null;23,6;
2024-01-31;null;null;22,6;
2024-02-29;null;null;22,6;
2024-03-31;null;null;22,9;
2024-04-30;null;null;22;
2024-05-31;3;14;20,5;
2024-06-30;0;0;18,3;
2024-07-31;3;2,4;18,2;
2024-08-31;4;5;19,2;
2024-09-30;2;13,4;23,5;
2024-10-31;null;null;null;

