Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;204,8;23,3;
2020-02-29;24;367,2;22,8;
2020-03-31;5;null;null;
2020-04-30;3;null;21,2;
2020-05-31;1;null;18,8;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;1;4,8;19,8;
2020-09-30;2;2,2;23,8;
2020-10-31;10;77,4;24,7;
2020-11-30;8;76,6;23,5;
2020-12-31;23;348;22,6;
2021-01-31;16;279;22,9;
2021-02-28;19;81,6;22,8;
2021-03-31;8;118,4;22,9;
2021-04-30;3;21,6;20,8;
2021-05-31;6;11;19,2;
2021-06-30;7;32;18,1;
2021-07-31;0;0;16,5;
2021-08-31;0;0;20,8;
2021-09-30;3;5,2;25,1;
2021-10-31;22;279;22,3;
2021-11-30;11;165,4;22,9;
2021-12-31;16;174,8;22,2;
2022-01-31;23;274;22,5;
2022-02-28;16;null;22,6;
2022-03-31;10;106,6;23,5;
2022-04-30;4;13,2;22,2;
2022-05-31;7;44,4;17,7;
2022-06-30;3;8;17,8;
2022-07-31;1;4,4;18,9;
2022-08-31;2;15,8;19,9;
2022-09-30;8;71,2;22;
2022-10-31;15;193,4;22,8;
2022-11-30;19;132,8;21,3;
2022-12-31;21;342,4;22,2;
2023-01-31;21;446,4;22,2;
2023-02-28;18;null;23,1;
2023-03-31;15;100;23;
2023-04-30;16;136,8;20,9;
2023-05-31;12;17,4;18,4;
2023-06-30;9;10,2;17,2;
2023-07-31;4;6,6;18,8;
2023-08-31;7;23,6;20,9;
2023-09-30;7;63,4;24,9;
2023-10-31;17;178,2;24,4;
2023-11-30;15;105,6;24,4;
2023-12-31;10;184,2;24,6;
2024-01-31;12;170,4;23,7;
2024-02-29;17;134;23,7;
2024-03-31;20;185,8;24;
2024-04-30;6;19;22,9;
2024-05-31;4;57,4;21;
2024-06-30;0;0;19,3;
2024-07-31;0;0;19,5;
2024-08-31;1;,2;20,2;
2024-09-30;2;2,8;25;
2024-10-31;null;null;null;

