Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;324;25,4;
2020-02-29;22;439;24,7;
2020-03-31;9;92,6;24,9;
2020-04-30;5;51,4;23,8;
2020-05-31;4;32,8;20,1;
2020-06-30;0;0;21,7;
2020-07-31;2;11,2;21,8;
2020-08-31;2;17,4;23;
2020-09-30;2;4;27,4;
2020-10-31;12;105,6;27,2;
2020-11-30;7;72,4;25,8;
2020-12-31;23;243,2;25,2;
2021-01-31;15;178,2;25,3;
2021-02-28;10;147,4;24,9;
2021-03-31;15;37,2;25,1;
2021-04-30;6;81,6;23,2;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;11;null;25,4;
2021-12-31;12;268,8;25,1;
2022-01-31;19;139,8;24,6;
2022-02-28;12;226,4;25;
2022-03-31;14;170,2;25,4;
2022-04-30;3;26,8;24,7;
2022-05-31;6;38,2;20,4;
2022-06-30;4;19,2;20,7;
2022-07-31;0;0;22,5;
2022-08-31;1;15,6;22,9;
2022-09-30;10;71,6;24,7;
2022-10-31;9;142,8;25,4;
2022-11-30;10;103,6;24,5;
2022-12-31;21;371,8;24,5;
2023-01-31;27;433,8;23,9;
2023-02-28;22;184,6;24,7;
2023-03-31;19;236,4;24,4;
2023-04-30;12;123,6;23,5;
2023-05-31;1;52,8;21,2;
2023-06-30;4;14;19,5;
2023-07-31;2;9,6;21,5;
2023-08-31;6;12,2;23,7;
2023-09-30;7;68,4;27;
2023-10-31;12;63;27,3;
2023-11-30;13;161,6;27,2;
2023-12-31;13;176,6;27,1;
2024-01-31;15;131,6;25,8;
2024-02-29;14;153,2;25,4;
2024-03-31;6;null;null;
2024-04-30;2;null;25,5;
2024-05-31;4;null;22,8;
2024-06-30;0;0;22,7;
2024-07-31;0;0;22,3;
2024-08-31;0;0;23;
2024-09-30;0;0;28;
2024-10-31;null;null;null;

