Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;248;23,6;
2020-02-29;24;392,4;22,7;
2020-03-31;12;76,8;22,3;
2020-04-30;8;30,4;21,4;
2020-05-31;11;36,4;18;
2020-06-30;4;2,6;18,8;
2020-07-31;1;19,8;19,4;
2020-08-31;2;12,8;19,4;
2020-09-30;5;14,6;23,6;
2020-10-31;12;88;23,9;
2020-11-30;15;232;22,6;
2020-12-31;3;3,8;22,7;
2021-01-31;null;null;23,7;
2021-02-28;12;129,2;22,5;
2021-03-31;8;104,8;23,2;
2021-04-30;null;null;20,8;
2021-05-31;5;40,2;19,7;
2021-06-30;5;17;18;
2021-07-31;0;0;16,4;
2021-08-31;1;2;20,1;
2021-09-30;1;,6;24,7;
2021-10-31;19;307,8;22,2;
2021-11-30;10;199,8;22,5;
2021-12-31;16;295;22,3;
2022-01-31;18;null;21,9;
2022-02-28;null;null;null;
2022-03-31;7;58;23,9;
2022-04-30;6;50;22,3;
2022-05-31;4;28,2;18,3;
2022-06-30;1;,2;18;
2022-07-31;0;0;18,9;
2022-08-31;2;7,4;19,6;
2022-09-30;5;32,6;21,8;
2022-10-31;14;152;23,1;
2022-11-30;15;88,6;21,2;
2022-12-31;23;326;21,8;
2023-01-31;27;439,2;22,1;
2023-02-28;14;104,6;23,5;
2023-03-31;12;37,4;23,5;
2023-04-30;12;78;21,4;
2023-05-31;4;,8;18,8;
2023-06-30;7;24,6;17,6;
2023-07-31;2;6;18,7;
2023-08-31;1;null;20,8;
2023-09-30;2;null;24,2;
2023-10-31;null;null;null;
2023-11-30;7;null;25,8;
2023-12-31;15;39,4;24,9;
2024-01-31;7;22,6;23,5;
2024-02-29;9;42,6;23,5;
2024-03-31;15;193,8;23,9;
2024-04-30;4;33,2;23;
2024-05-31;3;1,6;21,7;
2024-06-30;0;0;19,6;
2024-07-31;0;0;19,6;
2024-08-31;0;0;20,5;
2024-09-30;1;11,4;25;
2024-10-31;null;null;null;

