Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;23,4;
2020-02-29;null;null;22,6;
2020-03-31;null;null;22,9;
2020-04-30;null;null;22,1;
2020-05-31;null;null;18,3;
2020-06-30;null;0;19,9;
2020-07-31;0;0;19,9;
2020-08-31;2;2;20,7;
2020-09-30;3;5,4;24,8;
2020-10-31;4;5,2;25,1;
2020-11-30;null;null;23,4;
2020-12-31;23;338,6;22,9;
2021-01-31;14;109,6;23,8;
2021-02-28;19;180,4;22,7;
2021-03-31;13;113,4;23,3;
2021-04-30;5;null;21,5;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;10;null;23,2;
2021-12-31;20;243,2;23;
2022-01-31;25;402;22,5;
2022-02-28;23;281,6;22,7;
2022-03-31;14;134,6;23,7;
2022-04-30;11;74,6;22,7;
2022-05-31;9;62;18,5;
2022-06-30;4;3,2;18,8;
2022-07-31;0;0;19,8;
2022-08-31;2;25,6;20,7;
2022-09-30;6;76,6;22,8;
2022-10-31;16;155,8;23,5;
2022-11-30;15;144,4;22;
2022-12-31;22;61,8;22,6;
2023-01-31;null;null;22,1;
2023-02-28;null;null;23,1;
2023-03-31;13;null;23,1;
2023-04-30;20;136,6;21,6;
2023-05-31;2;,4;19,3;
2023-06-30;3;,6;18,1;
2023-07-31;0;0;19,7;
2023-08-31;null;null;22,1;
2023-09-30;4;null;25,4;
2023-10-31;18;222,4;25,1;
2023-11-30;15;212,2;25,3;
2023-12-31;16;120;25,2;
2024-01-31;18;139,2;23,9;
2024-02-29;18;176,4;23,7;
2024-03-31;24;328,4;23,7;
2024-04-30;1;null;24;
2024-05-31;1;null;21,9;
2024-06-30;0;0;20,7;
2024-07-31;0;0;20,8;
2024-08-31;2;3,6;21;
2024-09-30;2;8,8;26;
2024-10-31;null;null;null;

