Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89277777
Longitude: -41.51555555
Altitude: 467.17
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;277,8;25,5;
2020-02-29;10;140,4;25,8;
2020-03-31;17;312;23,4;
2020-04-30;12;84,2;22,9;
2020-05-31;12;60,8;20,9;
2020-06-30;11;32,2;20,1;
2020-07-31;16;42,6;19,9;
2020-08-31;12;40,6;20,1;
2020-09-30;4;23,6;23,2;
2020-10-31;7;108,6;24,1;
2020-11-30;20;194,8;22,9;
2020-12-31;12;79,6;25;
2021-01-31;6;28,6;25,3;
2021-02-28;13;270,2;24,3;
2021-03-31;11;111,2;24,3;
2021-04-30;6;null;22,9;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;5;null;null;
2021-11-30;17;185,2;22,6;
2021-12-31;24;349,8;23,2;
2022-01-31;9;71;25,2;
2022-02-28;1;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;6;null;null;
2022-06-30;0;0;20;
2022-07-31;12;8,2;20,5;
2022-08-31;3;5,4;21,1;
2022-09-30;3;1,2;22,1;
2022-10-31;6;45,2;24,8;
2022-11-30;19;442,2;22,8;
2022-12-31;25;385,8;23;
2023-01-31;22;229,6;24,4;
2023-02-28;2;6,2;25,9;
2023-03-31;5;16;25,5;
2023-04-30;13;124,8;23,7;
2023-05-31;9;19,4;21,5;
2023-06-30;1;,4;20,5;
2023-07-31;8;21,8;20,1;
2023-08-31;8;94;22;
2023-09-30;5;3,6;23,1;
2023-10-31;9;39,6;25,2;
2023-11-30;2;5,2;27,2;
2023-12-31;14;99,2;26,8;
2024-01-31;20;472;25,4;
2024-02-29;16;281;24,9;
2024-03-31;5;44,2;26,4;
2024-04-30;11;34;24,6;
2024-05-31;8;28,2;23,6;
2024-06-30;8;10,8;21,4;
2024-07-31;2;4;21,3;
2024-08-31;6;12,6;21,7;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

