Nome: TRES MARIAS
Codigo Estacao: A528
Latitude: -18.200855
Longitude: -45.459836
Altitude: 931.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;380,8;23,6;
2020-02-29;23;401,4;22,7;
2020-03-31;18;198,8;22,2;
2020-04-30;10;14,2;21,8;
2020-05-31;2;,8;19,1;
2020-06-30;null;0;19,6;
2020-07-31;null;0;19,9;
2020-08-31;1;3,2;19,8;
2020-09-30;2;,6;24;
2020-10-31;10;null;24,2;
2020-11-30;14;158,8;22,5;
2020-12-31;19;88,6;23,2;
2021-01-31;14;196,8;23,4;
2021-02-28;20;299,6;22;
2021-03-31;8;45,4;23,1;
2021-04-30;4;25,4;21,8;
2021-05-31;0;0;21;
2021-06-30;0;0;20;
2021-07-31;0;0;18,5;
2021-08-31;0;0;20,7;
2021-09-30;1;,4;25,4;
2021-10-31;13;123,2;23,6;
2021-11-30;18;286,4;22,3;
2021-12-31;23;316,6;21,9;
2022-01-31;15;252;22,8;
2022-02-28;20;204,2;22,2;
2022-03-31;3;16,4;23,5;
2022-04-30;5;13,6;23,1;
2022-05-31;4;14,6;19,5;
2022-06-30;0;0;19,5;
2022-07-31;0;0;19,5;
2022-08-31;0;0;20,9;
2022-09-30;5;32,6;22,8;
2022-10-31;9;63,4;23,8;
2022-11-30;20;206;21,3;
2022-12-31;20;278,6;21,7;
2023-01-31;26;259,2;21,8;
2023-02-28;8;85,2;23,7;
2023-03-31;5;55;23,6;
2023-04-30;12;29;22,1;
2023-05-31;2;10,8;20,3;
2023-06-30;3;14,2;19,1;
2023-07-31;0;0;20;
2023-08-31;4;26,2;22;
2023-09-30;1;9;24,9;
2023-10-31;10;157,4;25,3;
2023-11-30;9;60;25,6;
2023-12-31;10;153,2;24,9;
2024-01-31;21;224,6;23,5;
2024-02-29;10;null;22,8;
2024-03-31;8;null;null;
2024-04-30;6;12,8;23,1;
2024-05-31;0;0;22,2;
2024-06-30;0;0;20,4;
2024-07-31;0;0;20,3;
2024-08-31;null;null;21;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

