Nome: PASSA QUATRO
Codigo Estacao: A529
Latitude: -22.39583333
Longitude: -44.96194444
Altitude: 1017.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;232,4;21,3;
2020-02-29;22;246,2;20,7;
2020-03-31;12;109,4;20;
2020-04-30;9;15,2;18,6;
2020-05-31;11;24,8;15,7;
2020-06-30;6;21,6;17;
2020-07-31;6;6,6;16,6;
2020-08-31;3;15,2;16,5;
2020-09-30;4;43,6;20,9;
2020-10-31;10;117,2;20,6;
2020-11-30;15;110;19,8;
2020-12-31;24;310,8;20,9;
2021-01-31;18;114,4;22,1;
2021-02-28;18;162,2;20,7;
2021-03-31;13;101,2;21,2;
2021-04-30;8;11,4;18,7;
2021-05-31;8;22;17;
2021-06-30;12;25,6;16;
2021-07-31;2;13,8;14,1;
2021-08-31;2;21,6;17;
2021-09-30;5;35;20,9;
2021-10-31;20;260,8;18,8;
2021-11-30;13;189,6;19,5;
2021-12-31;18;256,2;19,9;
2022-01-31;24;441,4;20,9;
2022-02-28;21;138,6;21,2;
2022-03-31;11;61,4;21,8;
2022-04-30;13;33,4;20;
2022-05-31;13;18,8;16,1;
2022-06-30;12;10,2;15,8;
2022-07-31;4;4;16,7;
2022-08-31;4;16,4;16,3;
2022-09-30;10;95,8;17,3;
2022-10-31;16;113;20,1;
2022-11-30;15;84,4;18,4;
2022-12-31;14;null;19,7;
2023-01-31;null;null;20,5;
2023-02-28;1;null;21,3;
2023-03-31;16;132;21,1;
2023-04-30;14;97,2;19,2;
2023-05-31;3;null;17,1;
2023-06-30;10;23,8;15,4;
2023-07-31;8;8,2;15,9;
2023-08-31;7;22,4;18;
2023-09-30;5;47,6;21,3;
2023-10-31;17;331,6;21,4;
2023-11-30;14;162;22;
2023-12-31;15;157,2;22,2;
2024-01-31;22;277;21,5;
2024-02-29;19;151,2;21,9;
2024-03-31;22;193,2;21,7;
2024-04-30;6;6;20,7;
2024-05-31;7;26,2;19,4;
2024-06-30;5;null;16,7;
2024-07-31;4;10,6;16,7;
2024-08-31;3;null;17;
2024-09-30;3;null;null;
2024-10-31;1;null;null;

