Nome: MARIA DA FE
Codigo Estacao: A531
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.43
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;287,8;19,7;
2020-02-29;27;360,4;19,2;
2020-03-31;17;216,6;17,8;
2020-04-30;15;74,8;16;
2020-05-31;21;28;12,7;
2020-06-30;17;44;14,2;
2020-07-31;16;5,2;13,3;
2020-08-31;11;20,2;13,7;
2020-09-30;6;53;18,2;
2020-10-31;14;95,4;18,8;
2020-11-30;17;121,8;18,2;
2020-12-31;29;532,6;19,3;
2021-01-31;19;180;20,1;
2021-02-28;24;211,2;18,7;
2021-03-31;22;156,4;18,8;
2021-04-30;18;18,4;15,1;
2021-05-31;15;40,6;13,8;
2021-06-30;19;30,4;12,6;
2021-07-31;8;21,4;10,2;
2021-08-31;4;5;14,4;
2021-09-30;9;39,6;18,6;
2021-10-31;25;307,6;17,7;
2021-11-30;13;179,6;17,9;
2021-12-31;20;297,6;18,2;
2022-01-31;23;408;19,3;
2022-02-28;27;198,6;19,2;
2022-03-31;16;54;19,6;
2022-04-30;18;23,2;17;
2022-05-31;25;53;12,6;
2022-06-30;22;10,6;12,6;
2022-07-31;24;6,6;12,9;
2022-08-31;12;29,4;14;
2022-09-30;11;111,4;15,9;
2022-10-31;23;211,8;18,2;
2022-11-30;17;160,6;16,7;
2022-12-31;26;471,2;18,3;
2023-01-31;null;null;18,9;
2023-02-28;10;null;19,4;
2023-03-31;4;null;19;
2023-04-30;null;null;16,7;
2023-05-31;null;null;13,4;
2023-06-30;5;null;11,9;
2023-07-31;21;9,2;13;
2023-08-31;18;26;15,1;
2023-09-30;14;81,4;18,6;
2023-10-31;21;276,8;19,9;
2023-11-30;17;159;20,5;
2023-12-31;13;168;20,6;
2024-01-31;26;226,8;20;
2024-02-29;22;192;20,2;
2024-03-31;27;233,4;20,2;
2024-04-30;11;3,2;18,4;
2024-05-31;18;48,6;16,2;
2024-06-30;17;3,6;13,3;
2024-07-31;15;43,8;13,5;
2024-08-31;9;52,4;14;
2024-09-30;4;14,8;18,6;
2024-10-31;2;null;null;

